"scientific_name";"genus";"specific_epithet";"species_author";"collector_id";"recorded_by";"colnum_full";"prefix";"colnum";"sufix";"col_date";"col_day";"col_month";"col_year";"det_by";"det_date";"det_day";"det_month";"det_year";"country_id";"country";"continent";"locality";"coordinate_id";"ddlong";"ddlat";"institute";"herbarium_code";"barcode";"orig_bc";"coll_surname";"huh_name";"geo_col";"wiki_url";"region";"specificEpithet";"orig_recby";"orig_detby";"country_iso3";"sp_idx";"status";"accepted_name";"ipni_species_author";"ipni_no";"geo_issues"
0;"Mitrephora";"obtusa";0;0;"Zollinger";"2986";"";2986;"";"<NA>";NA;NA;NA;"Kessler, P";"01/05/2004 - 31/05/2004";1;5;2004;"not found";"Indonésie";0;"Planta Javanica";0;NA;NA;"0";"0";"P01967906";"P01967906";"Zollinger";"Zollinger, Heinrich";"Indonesia";"http://en.wikipedia.org/wiki/Heinrich_Zollinger";"";0;"Zollinger";"Kessler, P.";"not found";"Mitrephora obtusa";"ACCEPTED";"Mitrephora obtusa";"(Blume) Hook.f. & Thomson";"https://ipni.org/n/74025-1";NA
0;"Mitrephora";"polypyrena";0;0;"Zollinger";"";"<NA>";NA;"<NA>";"<NA>";NA;NA;NA;"Kessler, P";"03/09/1985 - 03/09/1985";3;9;1985;"not found";"Indonésie";0;"Planta Javanica";0;NA;NA;"0";"0";"P01967900";"P01967900";"Zollinger";"Zollinger, Heinrich";"Indonesia";"http://en.wikipedia.org/wiki/Heinrich_Zollinger";"";0;"Zollinger";"Kessler, P.";"not found";"Mitrephora polypyrena";"ACCEPTED";"Mitrephora polypyrena";"(Blume) Zoll.";"https://ipni.org/n/74035-1";NA
0;"Mitrephora";"reticulata";0;0;"Blume";"";"<NA>";NA;"<NA>";"01/01/1834 - 31/12/1834";1;1;1834;"nan";"<NA>";NA;NA;NA;"not found";"Indonésie";0;"Java.";0;NA;NA;"0";"0";"P00268529";"P00268529";"Blume";"Blume, Carl(Karl) Ludwig von";"Indonesia";"0";"";0;"Blume";"<NA>";"not found";"Mitrephora reticulata";"SYNONYM";"Pseuduvaria reticulata";"(Blume) Miq.";"https://ipni.org/n/74038-1";NA
0;"Mitrephora";"thorelii";0;0;"Liang, HY";"66202";"";66202;"";"14/12/1933 - 14/12/1933";14;12;1933;"nan";"<NA>";NA;NA;NA;"not found";"Chine";0;"Hainan";0;NA;NA;"0";"0";"P02133093";"P02133093";"Liang";"Liang, H. Y.";"China";"0";"Hainan(海南)";0;"Liang, H.Y.";"<NA>";"not found";"Mitrephora thorelii";"SYNONYM";"Mitrephora tomentosa";"Hook.f. & Thomson";"https://ipni.org/n/74047-1";NA
0;"Mitrephora";"tomentosa";0;0;"Guinet";"66";"";66;"";"<NA>";NA;NA;NA;"Weerasooriya, AD";"01/03/2001 - 31/03/2001";1;3;2001;"not found";"Cambodge";0;"Cambodge";0;NA;NA;"0";"0";"P00133834";"P00133834";"Guinet";"Guinet";"<NA>";"<NA>";"";0;"Guinet";"Weerasooriya, A.D.";"not found";"Mitrephora tomentosa";"ACCEPTED";"Mitrephora tomentosa";"Hook.f. & Thomson";"https://ipni.org/n/74048-1";NA
0;"Mitrephora";"tomentosa";0;0;"Hiep";"852";"";852;"";"01/06/1920 - 30/06/1920";1;6;1920;"Weerasooriya, AD";"01/03/2001 - 31/03/2001";1;3;2001;"VN";"Viet Nam";0;"Cochinchine";0;NA;NA;"0";"0";"P00133836";"P00133836";"Hiep";"Hiep";"<NA>";"<NA>";"";0;"Hiep";"Weerasooriya, A.D.";"VNM";"Mitrephora tomentosa";"ACCEPTED";"Mitrephora tomentosa";"Hook.f. & Thomson";"https://ipni.org/n/74048-1";NA
0;"Monocarpia";"euneura";0;0;"Korthals";"";"<NA>";NA;"<NA>";"01/01/1864 - 31/12/1864";1;1;1864;"nan";"<NA>";NA;NA;NA;"not found";"<NA>";0;"Borneo.";0;NA;NA;"0";"0";"P02008555";"P02008555";"Korthals";"Korthals, Pieter Willem";"Indonesia, Malaysia, Suriname, Venezuela";"http://en.wikipedia.org/wiki/Pieter_Willem_Korthals";"";0;"Korthals";"<NA>";"not found";"Monocarpia euneura";"ACCEPTED";"Monocarpia euneura";"Miq.";"https://ipni.org/n/74116-1";NA
0;"Monocarpia";"marginalis";0;0;"Kerr";"7205";"";7205;"";"01/07/1923 - 31/07/1923";1;7;1923;"nan";"01/01/1987 - 31/12/1987";1;1;1987;"not found";"Thaïlande";0;"Siam";0;NA;NA;"0";"0";"P02132604";"P02132604";"Kerr";"Kerr";"<NA>";"<NA>";"";0;"Kerr";"van Setten, A.K.";"not found";"Monocarpia marginalis";"SYNONYM";"Monocarpia maingayi";"(Hook.f. & Thomson) I.M.Turner";"https://ipni.org/n/74117-1";NA
0;"Orophea";"chrysocarpa";0;0;"Korthals";"";"<NA>";NA;"<NA>";"<NA>";NA;NA;NA;"nan";"<NA>";NA;NA;NA;"not found";"<NA>";0;"Borneo.";0;NA;NA;"0";"0";"P02008526";"P02008526";"Korthals";"Korthals, Pieter Willem";"Indonesia, Malaysia, Suriname, Venezuela";"http://en.wikipedia.org/wiki/Pieter_Willem_Korthals";"";0;"Korthals";"<NA>";"not found";"Orophea chrysocarpa";"SYNONYM";"Pseuduvaria reticulata";"(Blume) Miq.";"https://ipni.org/n/74209-1";NA
0;"Orophea";"coriacea";0;0;"Thwaites";"2612";"";2612;"";"01/01/1854 - 31/12/1854";1;1;1854;"Kessler, P";"03/09/1985 - 03/09/1985";3;9;1985;"LK";"Sri Lanka";0;"Ceylan.";0;NA;NA;"0";"0";"P00411089";"P00411089";"Thwaites";"Thwaites";"<NA>";"<NA>";"";0;"Thwaites";"Kessler, P.";"LKA";"Orophea coriacea";"SYNONYM";"Phoenicanthus coriacea";"(Thwaites) H.Huber";"https://ipni.org/n/74210-1";NA
