scientific_name;genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;specificEpithet;orig_recby;orig_detby;country_iso3;status;accepted_name;ipni_no;huh_name;geo_col;wiki_url
Neo-Uvaria acuminatissima (Miq.) Airy Shaw;Neo-Uvaria;acuminatissima;(Miq.) Airy Shaw;0;Ramos, M;Ramos, M BS 24371 , 24371;Ramos;24371;;0;1.0;2.0;1916.0;nan, nan;;;;;PH;Philippines;0;Philippines, Catubig River, Samar;0;125.0172;12.5612;<NA>, NHMUK;Botany, BOT;L1757910, BM000759458;L.1757910, BM000759458;Ramos;;;;PHL;ACCEPTED;Neo-Uvaria acuminatissima;https://ipni.org/n/74172-1;Ramos, Maximo;Malaysia, Philippines;0
Polyalthia oblongifolia C.B.Rob.;Polyalthia;oblongifolia;(Burck) B.Xue & R.M.K.Saunders;0;Ramos, M;Ramos, M BS 24446 ;Ramos;24446;;0;1.0;2.0;1916.0;;;;;;PH;Philippines;0;Catubig River, Samar.;0;125.0172;12.5612;;Botany;L1767291;L.1767291;Ramos;0.0;Ramos M;;PHL;SYNONYM;Monoon polycarpum;https://ipni.org/n/74676-1;Ramos, Maximo;Malaysia, Philippines;0
Pseuduvaria philippinensis Merr.;Pseuduvaria;philippinensis;Merr.;0;Ramos, M;Ramos, M BS 24449 , Ramos, M BS 24449 ;Ramos;24449;;0;1.0;2.0;1916.0;Su, YCF, Su, YCF;2004-06-01T00:00:00;1.0;6.0;2004.0;PH;Philippines;0;Philippines, Catubig River, Samar;0;125.0172;12.5612;<NA>, <NA>;Botany, Botany;L1764262, L1764263;L.1764262, L.1764263;Ramos;;;;PHL;ACCEPTED;Pseuduvaria philippinensis;https://ipni.org/n/74961-1;Ramos, Maximo;Malaysia, Philippines;0
Orophea leytensis Merr.;Orophea;leytensis;Merr.;0;Ramos, M;Ramos, M BS 24468 ;Ramos;24468;;0;1.0;2.0;1916.0;Kessler, PJA;1984-03-01T00:00:00;1.0;3.0;1984.0;PH;Philippines;0;Catubig River.Samar.;0;125.0172;12.5612;;Botany;L0038088;L  0038088;Ramos;0.0;Ramos M;Kessler PJA;PHL;ACCEPTED;Orophea leytensis;https://ipni.org/n/74238-1;Ramos, Maximo;Malaysia, Philippines;0
Mitrephora lanotan (Blanco) Merr.;Mitrephora;lanotan;(Blanco) Merr.;0;Ramos, M;"Ramos, M; Edaño, GE BS 26231 ";Ramos;26231;;0;1.0;8.0;1916.0;Weerasooriya, AD;2001-03-01T00:00:00;1.0;3.0;2001.0;PH;Philippines;0;Philippines. Luzon, Province of Nueva Ecija, Mt. Umingan.;0;120.8437;15.9273;;Botany;L1757257;L.1757257;Ramos;0.0;"Ramos M; Edaño GE";Weerasooriya AD;PHL;ACCEPTED;Mitrephora lanotan;https://ipni.org/n/74010-1;Ramos, Maximo;Malaysia, Philippines;0
Pseuduvaria luzoniensis (Merr.) Y.C.F.Su & R.M.K.Saunders;Pseuduvaria;luzoniensis;(Merr.) Y.C.F.Su & R.M.K.Saunders;0;Ramos, M;Ramos, M BS 27514 ;Ramos;27514;;0;1.0;2.0;1917.0;Su, YCF;2004-06-01T00:00:00;1.0;6.0;2004.0;PH;Philippines;0;Bangui.Prov. of Ilocos Norte.Luzon.;0;120.7671;18.5376;;Botany;L0038149;L  0038149;Ramos;0.0;Ramos M;Su YCF;PHL;ACCEPTED;Pseuduvaria luzoniensis;https://ipni.org/n/20002930-1;Ramos, Maximo;Malaysia, Philippines;0
Mitrephora lanotan (Blanco) Merr.;Mitrephora;lanotan;(Blanco) Merr.;0;Ramos, M;Ramos, M BS 27522 ;Ramos;27522;;0;1.0;2.0;1917.0;Weerasooriya, AD;2001-03-01T00:00:00;1.0;3.0;2001.0;PH;Philippines;0;Philippines. Luzon, Province of Ilocos Norte, Bangui.;0;120.7671;18.5376;;Botany;L1757256;L.1757256;Ramos;0.0;Ramos M;Weerasooriya AD;PHL;ACCEPTED;Mitrephora lanotan;https://ipni.org/n/74010-1;Ramos, Maximo;Malaysia, Philippines;0
Polyalthia lanceolata S.Vidal;Haplostichanthus;lanceolata;S.Vidal;0;Ramos, M;"Ramos, M; Edaño, GE BS 28720 ";Ramos;28720;;0;1.0;5.0;1917.0;Xue, B;2012-10-01T00:00:00;1.0;10.0;2012.0;PH;Philippines;0;Mt. Binuang, Province of Tayabas, Luzon;0;121.55;14.783333;;Botany;L1762665;L.1762665;Ramos;0.0;"Ramos M; Edaño GE";Xue B;PHL;SYNONYM;Polyalthia lanceolata;https://ipni.org/n/979807-1;Ramos, Maximo;Malaysia, Philippines;0
Goniothalamus elmeri Merr.;Goniothalamus;elmeri;Merr.;0;Ramos, M;"Ramos, M; Edaño, GE BS 28799 ";Ramos;28799;;0;1.0;5.0;1917.0;;;;;;PH;Philippines;0;Mt. Binuang.;0;121.55;14.783333;;Botany;L3966183;L.3966183;Ramos;0.0;"Ramos M; Edaño GE";;PHL;ACCEPTED;Goniothalamus elmeri;https://ipni.org/n/73186-1;Ramos, Maximo;Malaysia, Philippines;0
Orophea cumingiana S.Vidal;Orophea;cumingiana;S.Vidal;0;Ramos, M;"Ramos, M; Edaño, GE BS 28802 ";Ramos;28802;;0;1.0;5.0;1917.0;Kessler, PJA;1984-08-01T00:00:00;1.0;8.0;1984.0;PH;Philippines;0;Mt. Binuang, Province of Tayabas, Luzon.;0;121.55;14.783333;;Botany;L1766223;L.1766223;Ramos;0.0;"Ramos M; Edaño GE";Kessler PJA;PHL;ACCEPTED;Orophea cumingiana;https://ipni.org/n/74213-1;Ramos, Maximo;Malaysia, Philippines;0
Phaeanthus villosus Merr.;Phaeanthus;villosus;Merr.;0;Ramos, M;"Ramos, M; Edaño, GE BS 30775 ";Ramos;30775;;0;1.0;4.0;1918.0;Mols, JB;1998-04-01T00:00:00;1.0;4.0;1998.0;PH;Philippines;0;PhilippinesMt. MacosolonCapiz Province Panay;0;122.566667;11.4;;Botany;L0045409;L  0045409;Ramos;0.0;"Ramos M; Edaño GE";Mols JB;PHL;ACCEPTED;Phaeanthus villosus;https://ipni.org/n/74458-1;Ramos, Maximo;Malaysia, Philippines;0
Sageraea lanceolata Miq.;Sageraea;lanceolata;Miq.;0;Ramos, M;"Ramos, M; Edaño, GE BS 31045 ";Ramos;31045;;0;1.0;4.0;1918.0;Heusden, ECH van;;;;;PH;Philippines;0;Philippines. Jamindan,  Capiz Province, Panay.;0;122.5;11.416667;;Botany;L1770360;L.1770360;Ramos;0.0;"Ramos M; Edaño GE";Heusden ECH van;PHL;ACCEPTED;Sageraea lanceolata;https://ipni.org/n/75133-1;Ramos, Maximo;Malaysia, Philippines;0
