scientificName;genus;specificEpithet;speciesAuthor;collectorID;recordedBy;colNum_full;prefix;colNum;sufix;colDate;colDay;colMonth;colYear;detBy;detDate;detDay;detMonth;detYear;countryID;country;continent;locality;coordinateID;ddlong;ddlat;institute;herbarium_code;barcode;orig_BC;coll_surname;region;ORIG_recBy;globalID;childDataID;accSpeciesID;colNum_fullprefix;status;accepted_name;ipni_no
0;Fissistigma;fulgens;0;0;Cumming;2340;;2340;;<NA>;;;;<NA>;<NA>;;;;0;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P00750872;P00750872;Cumming;National Capital Region (NCR);Cumming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Melodorum;prismaticum;0;0;Cumming;2344;;2344;;<NA>;;;;<NA>;<NA>;;;;0;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P00734925;P00734925;Cumming;National Capital Region (NCR);Cumming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Polyalthia;lanceolata;0;0;Cumming;450;;450;;<NA>;;;;<NA>;<NA>;;;;0;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P00372660;P00372660;Cumming;National Capital Region (NCR);Cumming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Uvaria;cordata;0;0;Cumming;751;;751;;<NA>;;;;<NA>;<NA>;;;;0;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P00260055;P00260055;Cumming;National Capital Region (NCR);Cumming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Goniothalamus;sp.;0;0;Cumming;793;;793;;<NA>;;;;Kessler, P.;26/10/1989 - 26/10/1989;26;10;1989;0;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P02034805;P02034805;Cumming;National Capital Region (NCR);Cumming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Artabotrys;sp.;0;0;Cumming;970;;970;;<NA>;;;;<NA>;<NA>;;;;0;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P01982716;P01982716;Cumming;National Capital Region (NCR);Cumming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Polyalthia;sp.;0;0;Curran, HM;10132;;10132;;01/03/1908 - 31/03/1908;1;3;1908;Kessler, P.;01/11/2003 - 30/11/2003;1;11;2003;0;Philippines;0;Philippines. Paete - Piapi. Laguna - Sayabas Prov;0;121.4815784;14.3641222;0;0;P01982960;P01982960;Curran;Laguna;Curran, H.M.;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Cyathocalyx;globosus;0;0;Curran, HM;10401;;10401;;01/05/1908 - 31/05/1908;1;5;1908;Kessler;01/06/2004 - 30/06/2004;1;6;2004;0;Philippines;0;Philippines. Tayabas Prov., Luzon;0;121.5918364;14.0263471;0;0;P01981753;P01981753;Curran;Quezon;Curran, H.M.;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Polyalthia;glauca;0;0;Curran, HM;10475;;10475;;01/05/1908 - 31/05/1908;1;5;1908;<NA>;<NA>;;;;0;Philippines;0;Philippines. Camarines Prov., Luzon;0;122.793;14.013;0;0;P01983902;P01983902;Curran;Bicol Region (Region V);Curran, H.M.;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Polyalthia;sp.;0;0;Curran, HM;10572, 10572;;10572;;01/06/1908 - 30/06/1908;1;6;1908;Kessler, P., Kessler, P.;01/11/2003 - 30/11/2003;1;11;2003;0;Philippines;0;Philippines. Albay Prov., Luzon.;0;123.55;13.216667;0, 0;0, 0;P01982963, P01982962;P01982963, P01982962;Curran;;nan;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Polyalthia;clusiflora;0;0;Curran, HM;10884;;10884;;01/12/1908 - 31/12/1908;1;12;1908;<NA>;<NA>;;;;0;Philippines;0;Philippines. Nueva Vizcaya Prov., Luzon.;0;121.13;16.35;0;0;P01983936;P01983936;Curran;Nueva Vizcaya;Curran, H.M.;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Uvaria;sorzogonensis;0;0;Curran, HM;3525;;3525;;01/01/1906 - 31/01/1906;1;1;1906;<NA>;<NA>;;;;0;Philippines;0;Philippines. Palawan.;0;118.735;9.7376;0;0;P00248445;P00248445;Curran;Palawan;Curran, H.M.;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Polyalthia;sp.;0;0;Curran, HM;3829;;3829;;01/03/1906 - 31/03/1906;1;3;1906;<NA>;<NA>;;;;0;Philippines;0;Philippines. Palawan;0;118.75;10.0;0;0;P01983395;P01983395;Curran;Palawan;Curran, H.M.;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
