"scientific_name";"genus";"specific_epithet";"species_author";"collector_id";"recorded_by";"colnum_full";"prefix";"colnum";"sufix";"col_date";"col_day";"col_month";"col_year";"det_by";"det_date";"det_day";"det_month";"det_year";"country_id";"country";"continent";"locality";"coordinate_id";"ddlong";"ddlat";"institute";"herbarium_code";"barcode";"orig_bc";"coll_surname";"specificEpithet";"orig_recby";"orig_detby";"country_iso3";"global_id";"childData_id";"accSpecies_id";"colnum_fullprefix";"status";"accepted_name";"ipni_no";".val";".equ";".zer";".cap";".cen";".con";".gbf";".inst";".summary"
"Polyalthia Blume";"Polyalthia";"None";0;0;"Achmad";"Achmad  440 , Achmad  440 ";"Achmad";440;"";0;8;5;1918;"nan, nan";"<NA>";NA;NA;NA;"ID";"Indonesia";0;"Archipel. Ind. Eil: Simaloer bij Sumatra.";0;96.0816665;2.5816665;"<NA>, <NA>";"Botany, Botany";"L1764047, L1763665";"L.1764047, L.1763665";"Achmad";NA;"nan";"";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Polyalthia lateriflora (Blume) Kurz";"Polyalthia";"lateriflora";0;0;"Achmad";"Achmad  479 , Achmad  479 ";"Achmad";479;"";0;8;6;1918;"Smith, JJ, Smith, JJ";"<NA>";NA;NA;NA;"ID";"Indonesia";0;"Sumatra, Eil. Simaloer";0;96.083333;2.583333;"<NA>, <NA>";"Botany, Botany";"L1762640, L0197493";"L.1762640, L  0197493";"Achmad";NA;"nan";"";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Polyalthia lateriflora (Blume) Kurz";"Polyalthia";"lateriflora";0;0;"Achmad";"Achmad  492 ";"Achmad";492;"";0;14;3;1918;"nan";"<NA>";NA;NA;NA;"ID";"Indonesia";0;"Sumatra eil. Simaloer";0;96.083333;2.583333;"<NA>";"Botany";"L1762645";"L.1762645";"Achmad";0;"Achmad";"<NA>";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Cyathocalyx carinatus (Ridl.) J.Sinclair";"Drepananthus";"carinatus";0;0;"Achmad";"Achmad  525 , Achmad  525 ";"Achmad";525;"";0;7;7;1918;"Wang, R, Wang, R";"2004-01-01T00:00:00";1;1;2004;"ID";"Indonesia";0;"Archipel. Ind. Sumatra eil. Simaloer.";0;96.08;2.58;"<NA>, <NA>";"Botany, Botany";"L1754040, L0192320";"L.1754040, L  0192320";"Achmad";NA;"nan";"";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Stelechocarpus burahol (Blume) Hook.f. & Thomson";"Stelechocarpus";"burahol";0;0;"Achmad";"Achmad  548 , Achmad  548 ";"Achmad";548;"";0;19;7;1918;"Heusden, ECH van, Heusden, ECH van";"<NA>";NA;NA;NA;"ID";"Indonesia";0;"<NA>";0;96.08;2.58;"<NA>, <NA>";"Botany, Botany";"U1081080, L1770278";"U.1081080, L.1770278";"Achmad";NA;"nan";"";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Mitrephora simeuluensis Weeras. & R.M.K.Saunders";"Mitrephora";"simeuluensis";0;0;"Achmad";"Achmad  568 , Achmad  568 ";"Achmad";568;"";0;14;8;1918;"Weerasooriya, AD, Weerasooriya, AD";"2001-03-01T00:00:00";1;3;2001;"ID";"Indonesia";0;"Sumatra; eil. Simaloer";0;96.08;2.58;"<NA>, <NA>";"Botany, Botany";"U0017057, L0064575";"U  0017057, L  0064575";"Achmad";NA;"nan";"";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Mezzettia parviflora Becc.";"Mezzettia";"parviflora";0;0;"Achmad";"Achmad  582 , Achmad  582 ";"Achmad";582;"";0;22;8;1918;"Kessler, PJA, Kessler, PJA";"1989-06-01T00:00:00";1;6;1989;"ID";"Indonesia";0;"Sumatra eil. Simaloer";0;96.08;2.58;"<NA>, <NA>";"Botany, Botany";"L1761762, L0197164";"L.1761762, L  0197164";"Achmad";NA;"nan";"";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Maasia hypoleuca (Hook.f. & Thomson) Mols, Kessler & Rogstad";"Maasia";"hypoleuca";0;0;"Achmad";"Achmad  584 ";"Achmad";584;"";0;23;8;1918;"nan";"<NA>";NA;NA;NA;"ID";"Indonesia";0;"Sumatra eil. Simaloer";0;96.08;2.58;"<NA>";"Botany";"L1756493";"L.1756493";"Achmad";0;"Achmad";"<NA>";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Xylopia sumatrana (Miq.) D.M.Johnson & N.A.Murray";"Unona";"sumatrana";0;0;"Achmad";"Achmad  619 ";"Achmad";619;"";0;13;9;1918;"nan";"<NA>";NA;NA;NA;"ID";"Indonesia";0;"Sumatra eil: Simaloer";0;96.083333;2.583333;"<NA>";"Botany";"L4370448";"L.4370448";"Achmad";0;"Achmad";"Johnson DM; Murray NA";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Xylopia dicarpa Hook.f. & Thomson";"Xylopia";"malayana";0;0;"Achmad";"Achmad  756 ";"Achmad";756;"";0;23;11;1918;"Johnson, DM";"2014-03-01T00:00:00";1;3;2014;"ID";"Indonesia";0;"Sumatra, afd. Simaloer.";0;96.08;2.58;"<NA>";"Botany";"L1775342";"L.1775342";"Achmad";0;"Achmad";"Johnson DM";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
