scientific_name;genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;region;specificEpithet;orig_recby;orig_detby;to_check;to_check_det;country_iso3;status;accepted_name;ipni_no
0;Orophea;cumingiana;S.Vidal;0;Cumming;1714;;1714;;<NA>;;;;Kessler, P;10/01/1986 - 10/01/1986;10;1;1986;PH;Philippines;0;Manille.;0;120.9809674;14.5907332;0;0;P01987506;P01987506;Cumming;National Capital Region (NCR);0;Cumming;Kessler, P.;;;PHL;ACCEPTED;Orophea cumingiana;https://ipni.org/n/74213-1
0;Goniothalamus;philippinensis;Merr.;0;Cumming;1746;;1746;;<NA>;;;;Rainer, H;21/12/2007 - 21/12/2007;21;12;2007;PH;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P00601046;P00601046;Cumming;National Capital Region (NCR);0;Cumming;Rainer, H.;;;PHL;ACCEPTED;Goniothalamus philippinensis;https://ipni.org/n/73235-1
0;Uvaria;cordata;(Blume) Blume;0;Cumming;1807;;1807;;<NA>;;;;nan;<NA>;;;;PH;Philippines;0;Manille.;0;120.9809674;14.5907332;0;0;P00260057;P00260057;Cumming;National Capital Region (NCR);0;Cumming;<NA>;;;PHL;SYNONYM;Uvaria littoralis;https://ipni.org/n/75628-1
0;Artabotrys;suaveolens;(Blume) Blume;0;Cumming;2309;;2309;;<NA>;;;;nan;<NA>;;;;PH;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P02029171;P02029171;Cumming;National Capital Region (NCR);0;Cumming;<NA>;;;PHL;ACCEPTED;Artabotrys suaveolens;https://ipni.org/n/72472-1
0;Fissistigma;manubriatum;(Hook.f. & Thomson) Merr.;0;Cumming;2339;;2339;;<NA>;;;;Hou, XL;30/03/2011 - 30/03/2011;30;3;2011;PH;Philippines;0;Manille.;0;120.9809674;14.5907332;0;0;P00751038;P00751038;Cumming;National Capital Region (NCR);0;Cumming;Hou, X.L.;;;PHL;ACCEPTED;Fissistigma manubriatum;https://ipni.org/n/73042-1
0;Fissistigma;fulgens;(Hook.f. & Thomson) Merr.;0;Cumming;2340;;2340;;<NA>;;;;nan;<NA>;;;;PH;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P00750872;P00750872;Cumming;National Capital Region (NCR);0;Cumming;<NA>;;;PHL;ACCEPTED;Fissistigma fulgens;https://ipni.org/n/73018-1
0;Melodorum;prismaticum;(Hook.f. & Thomson) Merr.;0;Cumming;2344;;2344;;<NA>;;;;nan;<NA>;;;;PH;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P00734925;P00734925;Cumming;National Capital Region (NCR);0;Cumming;<NA>;;;PHL;SYNONYM;Pyramidanthe prismatica;https://ipni.org/n/73884-1
0;Polyalthia;lanceolata;S.Vidal;0;Cumming;450;;450;;<NA>;;;;nan;<NA>;;;;PH;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P00372660;P00372660;Cumming;National Capital Region (NCR);0;Cumming;<NA>;;;PHL;ACCEPTED;Polyalthia lanceolata;https://ipni.org/n/74618-1
0;Uvaria;cordata;(Blume) Blume;0;Cumming;751;;751;;<NA>;;;;nan;<NA>;;;;PH;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P00260055;P00260055;Cumming;National Capital Region (NCR);0;Cumming;<NA>;;;PHL;SYNONYM;Uvaria littoralis;https://ipni.org/n/75628-1
0;Cyathocalyx;globosus;Merr.;0;Curran, HM;10401;;10401;;01/05/1908 - 31/05/1908;1;5;1908;Kessler;01/06/2004 - 30/06/2004;1;6;2004;PH;Philippines;0;Philippines. Tayabas Prov., Luzon;0;121.5918364;14.0263471;0;0;P01981753;P01981753;Curran;Quezon;0;Curran, H.M.;Kessler;;;PHL;ACCEPTED;Cyathocalyx globosus;https://ipni.org/n/72657-1
