scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby
Miliusa vidalii J.Sinclair;Miliusa;PH;Mt. Ambil, So. Ambil, Tabao.;13.816667;120.316667;Romero, EM;"Romero, EM; Fuentes, RE PPI 37658 ";7;7;1996;Mols, JB;2000-10-01T00:00:00;<NA>;Botany;L.3993730;0;0;0;Romero;;0;1;10;2000;0;0;0;L3993730;37658;vidalii;"Romero EM; Fuentes RE";Mols JB
Miliusa vidalii J.Sinclair;Miliusa;PH;Mt. Cleopatra Range, So. Calabayog, Brgy. Tinapag, Puerto Princesa.;10.117333;118.983667;Reynoso, EJ;"Reynoso, EJ; Majaducon, RS PPI 24488 ";7;7;1996;Mols, JB;2004-03-01T00:00:00;<NA>;Botany;L.3993727;0;0;0;Reynoso;;0;1;3;2004;0;0;0;L3993727;24488;vidalii;"Reynoso EJ; Majaducon RS";Mols JB
Miliusa vidalii J.Sinclair;Miliusa;PH;Morong municip., tractor road from Morong to Natib Mt.;14.65;120.3;Soejarto, DD;"Soejarto, DD; et al.  7768 ";2;7;1992;Mols, JB;2004-03-01T00:00:00;<NA>;Botany;L.3993722;0;0;0;Soejarto;;0;1;3;2004;0;0;0;L3993722;7768;vidalii;"Soejarto DD; et al.";Mols JB
Cyathocalyx apoensis (Elmer) J.Sinclair;Drepananthus;PH;Mindanao: Surigao del Sur, Lianga, forested hills between Lianga and Sn. Agustin, km. 5-12 from Lianga.;8.72;126.17;Soejarto, DD ;8134;3;7;1993;nan;<NA>;NY;NY;04241916;0;0;0;;;0;;;;0;0;0;NY04241916;8134;apoensis;D. D. Soejarto;<NA>
Enicosanthum grandifolium (Elmer) Airy Shaw;Enicosanthum;PH;Sierra Madre Mtn. Range (east foothills), Isabela province, Palanan municipality, Barangay San Isidro, Sitio Diago, ca. 1.5 km SSE of Palanan Point. [Transect Plot 3-10] Transect tre.. 80 degrees to 160 degrees.;17.13;122.511667;Co, LL ;Co 3-10-35;;;;nan;<NA>;MO;MO;101228895;0;0;0;Co;;0;;;;0;0;0;MO101228895;3-10-35;grandifolium;"L.L. Co;Benito C. Tan";<NA>
Enicosanthum grandifolium (Elmer) Airy Shaw;Enicosanthum;PH;Sierra Madre Mtn. Range (east foothills), Isabela province, Palanan municipality, Barangay San Isidro, Sitio Diago, ca. 1.5 km SSE of Palanan Point. [Transect Plot 3-10] Transect tre.. 80 degrees to 160 degrees.;17.13;122.511667;Co, LL ;Co 3-10-34;;;;nan;<NA>;MO;MO;101228891;0;0;0;Co;;0;;;;0;0;0;MO101228891;3-10-34;grandifolium;"L.L. Co;Benito C. Tan";<NA>
Enicosanthum grandifolium (Elmer) Airy Shaw;Enicosanthum;PH;Sierra Madre Mtn. Range (east foothills), Isabela province, Palanan municipality, Barangay San Isidro. [Transect Plot 3-9] Transect trend: NNE to SSW. Slopes of Hill 124, approximately west of Dimatog.;17.128333;122.515;Co, LL ;Co 3-9-21;;;;nan;<NA>;MO;MO;101227739;0;0;0;Co;;0;;;;0;0;0;MO101227739;3-9-21;grandifolium;"L.L. Co;Benito C. Tan";<NA>
Enicosanthum grandifolium (Elmer) Airy Shaw;Enicosanthum;PH;Sierra Madre Mtn. Range (east foothills), Isabela province, Palanan municipality, Barangay San Isidro, Sitio Diago, ca. 1.5 km SSE of Palanan Point. [Transect Plot 3-10] Transect tre.. 80 degrees to 160 degrees.;17.13;122.511667;Co, LL ;Co 3-10-22;;;;nan;<NA>;MO;MO;101228526;0;0;0;Co;;0;;;;0;0;0;MO101228526;3-10-22;grandifolium;"L.L. Co;Benito C. Tan";<NA>
Dasymaschalon clusiflorum (Merr.) Merr.;Dasymaschalon;PH;Sierra Madre Mtn. Range (east foothills), Isabela province, Palanan municipality, Barangay San Isidro, Sitio Dimatog. NW slopes of Hill 124, ca. 2 km SW of Palanan Point. [Transect Plot 3-8] Transect trend: E to W.;17.128333;122.498333;Co, LL ;Co 3-8-19;;;;nan;<NA>;MO;MO;101227298;0;0;0;Co;;0;;;;0;0;0;MO101227298;3-8-19;clusiflorum;"L.L. Co;Benito C. Tan";<NA>
Enicosanthum grandifolium (Elmer) Airy Shaw;Enicosanthum;PH;Sierra Madre Mtn. Range (east foothills), Isabela province, Palanan municipality, Barangay San Isidro, Sitio Dimatog. NW slopes of Hill 124, ca. 2 km SW of Palanan Point. [Transect Plot 3-8] Transect trend: E to W.;17.128333;122.498333;Co, LL ;Co 3-8-11;;;;nan;<NA>;MO;MO;101227167;0;0;0;Co;;0;;;;0;0;0;MO101227167;3-8-11;grandifolium;"L.L. Co;Benito C. Tan";<NA>
Enicosanthum grandifolium (Elmer) Airy Shaw;Enicosanthum;PH;Sierra Madre Mtn. Range (east foothills), Isabela province, Palanan municipality, Barangay San Isidro, Sitio Dimatog. NW slopes of Hill 124, ca. 2 km SW of Palanan Point. [Transect Plot 3-8] Transect trend: E to W.;17.128333;122.498333;Co, LL ;Co 3-8-10;;;;nan;<NA>;MO;MO;101227166;0;0;0;Co;;0;;;;0;0;0;MO101227166;3-8-10;grandifolium;"L.L. Co;Benito C. Tan";<NA>
Enicosanthum grandifolium (Elmer) Airy Shaw;Enicosanthum;PH;Sierra Madre Mtn. Range (east foothills), Isabela province, Palanan municipality, Barangay San Isidro, Sitio Dimatog. NW slopes of Hill 124, ca. 2 km SW of Palanan Point. [Transect Plot 3-8] Transect trend: E to W.;17.128333;122.498333;Co, LL ;Co 3-8-26;;;;nan;<NA>;MO;MO;101227413;0;0;0;Co;;0;;;;0;0;0;MO101227413;3-8-26;grandifolium;"L.L. Co;Benito C. Tan";<NA>
Enicosanthum grandifolium (Elmer) Airy Shaw;Enicosanthum;PH;Sierra Madre Mtn. Range (east foothills), Isabela province, Palanan municipality, Barangay San Isidro, Sitio Dimatog. NW slopes of Hill 124, ca. 2 km SW of Palanan Point. [Transect Plot 3-8] Transect trend: E to W.;17.128333;122.498333;Co, LL ;Co 3-8-16;;;;nan;<NA>;MO;MO;101227278;0;0;0;Co;;0;;;;0;0;0;MO101227278;3-8-16;grandifolium;"L.L. Co;Benito C. Tan";<NA>
Enicosanthum grandifolium (Elmer) Airy Shaw;Enicosanthum;PH;Sierra Madre Mtn. Range (east foothills), Isabela province, Palanan municipality, Barangay San Isidro, Sitio Dimatog. NW slopes of Hill 124, ca. 2 km SW of Palanan Point. [Transect Plot 3-8] Transect trend: E to W.;17.128333;122.498333;Co, LL ;Co 3-8-6;;;;nan;<NA>;MO;MO;101227148;0;0;0;Co;;0;;;;0;0;0;MO101227148;3-8-6;grandifolium;"L.L. Co;Benito C. Tan";<NA>
Papualthia reticulata (Elmer) Merr.;Haplostichanthus;PH;"Sierra Madre Mtn. Range (east foothills), Isabela province, Palanan municipality, Barangay San Isidro, hills north of Sitio Diago. [Transect Plot 3-2] continuation of Transect 3-1; Transect trend: NE to SW; from 50 m to 63 m. Slope 25 degrees. Emergent trees up to c 35 m tall.";17.128333;122.515;Co, LL ;Co 3-2-32;;;;nan;<NA>;MO;MO;101220504;0;0;0;Co;;0;;;;0;0;0;MO101220504;3-2-32;lanceolata;"L.L. Co;Benito C. Tan";<NA>
Enicosanthum grandifolium (Elmer) Airy Shaw;Enicosanthum;PH;Sierra Madre Mtn. Range (east foothills), Isabela province, Palanan municipality, Barangay San Isidro, Sitio Pulang Lupa. [Transect Plot 3-5] Transect trend: E to W. Forest above Puland Bato, undulating terrain.;17.13;122.5;Co, LL ;Co 3-5-38;;;;nan;<NA>;MO;MO;101223063;0;0;0;Co;;0;;;;0;0;0;MO101223063;3-5-38;grandifolium;"L.L. Co;Benito C. Tan";<NA>
Enicosanthum grandifolium (Elmer) Airy Shaw;Enicosanthum;PH;"Sierra Madre Mtn. Range (east foothills), Isabela province, Palanan municipality, Barangay San Isidro, hills north of Sitio Diago. [Transect 3-4] Near end point of Transect 3-3; c. 100 m away and due 250 degrees from said point. Relatively flat terrain. Average canopy height 20 cm.";17.128333;122.515;Co, LL ;Co 3-4-29;;;;nan;<NA>;MO;MO;101222319;0;0;0;Co;;0;;;;0;0;0;MO101222319;3-4-29;grandifolium;"L.L. Co;Benito C. Tan";<NA>
Enicosanthum grandifolium (Elmer) Airy Shaw;Enicosanthum;PH;"Sierra Madre Mtn. Range (east foothills), Isabela province, Palanan municipality, Barangay San Isidro, hills north of Sitio Diago. [Transect Plot 3-2] continuation of Transect 3-1; Transect trend: NE to SW; from 50 m to 63 m. Slope 25 degrees. Emergent trees up to c 35 m tall.";17.128333;122.515;Co, LL ;Co 3-2-31;;;;nan;<NA>;MO;MO;101220502;0;0;0;Co;;0;;;;0;0;0;MO101220502;3-2-31;grandifolium;"L.L. Co;Benito C. Tan";<NA>
Enicosanthum grandifolium (Elmer) Airy Shaw;Enicosanthum;PH;"Sierra Madre Mtn. Range (east foothills), Isabela province, Palanan municipality, Barangay San Isidro, hills north of Sitio Diago. [Transect Plot 3-2] continuation of Transect 3-1; Transect trend: NE to SW; from 50 m to 63 m. Slope 25 degrees. Emergent trees up to c 35 m tall.";17.128333;122.515;Co, LL ;Co 3-2-29;;;;nan;<NA>;MO;MO;101220497;0;0;0;Co;;0;;;;0;0;0;MO101220497;3-2-29;grandifolium;"L.L. Co;Benito C. Tan";<NA>
