scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;huh_name;geo_col;wiki_url;barcode;colnum;specific_epithet;orig_recby;orig_detby
Desmos chinensis Lour.;Desmos;ID;Indonesian East Borneo, Berau, slopes of Mt. Njapa on Kelai River;1.416666;115.883333;Kostermans, AJGH;Kostermans, AJGH  21257 ;12;10;1963;Turner, IM;2010-03-02T00:00:00;<NA>;Botany;L.1760313;0;0;0;Kostermans;;0;2;3;2010;0;0;0;0;0;0;L1760313;21257;chinensis;Kostermans AJGH;Turner IM
Polyalthia celebica Miq.;Polyalthia;ID;Insula Celebes, Provincia Minahassa.;1.0;124.583333;Koorders, SH;Koorders, SH  16037 b;;;;Boerlage, JG;1897-02-01T00:00:00;<NA>;Botany;L.1758016;0;0;0;Koorders;b;0;1;2;1897;0;0;0;0;0;0;L1758016;16037;celebica;Koorders SH;Boerlage JG
Monoon Miq.;Monoon;ID;"Indonesia, Celebes, Sulawesi Selatan, N. shore of Lake Matano, E. of Nuha.2.20 S; 121.26 E; 450 m alt.";-2.333333;121.433333;Vogel, EF de;Vogel, EF de  6061 ;2;7;1979;Nurmawati, S;2017-08-01T00:00:00;<NA>;Botany;L.1759917;0;0;0;Vogel;;0;1;8;2017;0;0;0;0;0;0;L1759917;6061;;Vogel EF de;Nurmawati S
Polyalthia cauliflora Hook.f. & Thomson;Polyalthia;ID;East Kalimantan, Berau, Inhutani I area, road to tanjung Redeb. c. 1 km from Labanan ( base camp Inhutani I ).;2.083333;117.283333;Kessler, PJA;"Kessler, PJA; et al. Berau 282 ";14;2;1997;Turner, IM;2010-03-05T00:00:00;<NA>;Botany;L.1758298;0;0;0;Kessler;;0;5;3;2010;0;0;0;0;0;0;L1758298;282;cauliflora;"Kessler PJA; et al.";Turner IM
Mezzettia umbellata Becc.;Mezzettia;ID;Borneo, Kalimantan Barat. Ketapang . Gunung Palung National Park, Cabang Panti Research Site.;-1.866666;109.983333;Laman, TG;"Laman, TG; et al.  880 ";17;3;1997;Kessler, PJA;1998-08-01T00:00:00;<NA>;Botany;L.1761995;0;0;0;Laman;;0;1;8;1998;0;0;0;0;0;0;L1761995;880;umbellata;"Laman TG; et al.";Kessler PJA
Polyalthia Blume;Polyalthia;ID;"Indonesia, Sulawesi, Sulawesi Utara; 220 km W of Manado; 50 km inland from Pangi, on tributary of Sungai Ilanga.0.41 N; 123.40 E; 350-750 m alt.";0.683333;123.666667;Burley, JS;"Burley, JS; et al.  3922 ";16;3;1990;nan;<NA>;<NA>;Botany;L.1759919;0;0;0;Burley;;0;;;;0;0;0;0;0;0;L1759919;3922;;"Burley JS; et al.";<NA>
Mezzettia parviflora Becc.;Mezzettia;ID;Sumatra-Palembang, ond.afd. Manjoeasin en Koeboestreken;-2.916667;104.75;Endert, FH;Endert, FH 26.E.1P 457 ;28;3;1919;Kessler, PJA;1989-06-01T00:00:00;<NA>;Botany;L.1761736;0;0;0;Endert;;0;1;6;1989;0;0;0;0;0;0;L1761736;26;parviflora;Endert FH;Kessler PJA
Polyalthia Blume;Polyalthia;ID;W Seran, W Kawa;-2.933333;128.15;Rutten, LMR;Rutten, LMR  1900 ;15;11;1918;nan;<NA>;<NA>;Botany;L.1759905;0;0;0;Rutten;;0;;;;0;0;0;0;0;0;L1759905;1900;;Rutten LMR;<NA>
Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;ID;"Malesia, Indonesia, Borneo, Kalimantan Selatan, 7 km NE of Muara Uja, Mt. Serempakac. 1.50 S; 115.40 E.";-1.833333;115.666667;Vogel, EF de;Vogel, EF de  1068 ;26;11;1971;nan;1998-04-01T00:00:00;<NA>;Botany;L.1758590;0;0;0;Vogel;;0;1;4;1998;0;0;0;0;0;0;L1758590;1068;ophthalmicus;Vogel EF de;"Kessler PJA; Mols JB"
Monoon congregatum (King) B.Xue & R.M.K.Saunders;Enicosanthum;ID;Indonesia. E Borneo, E. Kutei (Sangkulirang subdiv.), Sg. Menubar region.;1.083333;118.416667;Kostermans, AJGH;Kostermans, AJGH  5391 ;22;6;1951;Nurmawati, S;2017-08-01T00:00:00;<NA>;Botany;L.1760919;0;0;0;Kostermans;;0;1;8;2017;0;0;0;0;0;0;L1760919;5391;congregatum;Kostermans AJGH;Nurmawati S
Orophea Blume;Orophea;ID;N Sumatra, Gunung Leuser Reserve, Ketambe, c.40km N of Kutacane;3.6831;97.6486;Vogel, EF de;Vogel, EF de  1530 ;21;7;1972;Kessler, PJA;1988-04-01T00:00:00;<NA>;Botany;L.1758946;0;0;0;Vogel;;0;1;4;1988;0;0;0;0;0;0;L1758946;1530;;Vogel EF de;Kessler PJA
Popowia pisocarpa (Blume) Endl.;Popowia;ID;"Borneo; W Kalimatnan, Sintang, Bukit Baka NP, South of camp, along Bukit Asing ridge";-0.633333;112.283333;Church, AC;"Church, AC; et al.  350 ";24;10;1993;Ganesan, SK;2011-10-01T00:00:00;<NA>;Botany;L.1759339;0;0;0;Church;;0;1;10;2011;0;0;0;0;0;0;L1759339;350;pisocarpa;"Church AC; et al.";Ganesan SK
Popowia pisocarpa (Blume) Endl.;Popowia;ID;N Moluccas, halmahera, Isthmus of Dodinga, Sibu-sibu;0.85;127.666667;Vogel, EF de;Vogel, EF de  3055 ;22;9;1974;nan;<NA>;<NA>;Botany;L.1759089;0;0;0;Vogel;;0;;;;0;0;0;0;0;0;L1759089;3055;pisocarpa;Vogel EF de;<NA>
Maasia glauca (Hassk.) Mols, Kessler & Rogstad;Maasia;ID;"Indonesia, Borneo, C. Kalimantan, Sintang. HPH km 70; NE of camp along main logging road and cutting block environs.0.51 S; 112.13 E; 150 m. alt.";-0.85;112.216667;Church, AC;"Church, AC; et al.  806 ";10;4;1994;nan;<NA>;<NA>;Botany;L.1761253;0;0;0;Church;;0;;;;0;0;0;0;0;0;L1761253;806;glauca;"Church AC; et al.";<NA>
Popowia hirta Miq.;Popowia;ID;East Kalimantan, KPC area, West Bengalon, Sebongkok Utara.;-0.8;117.533333;Ambriansyah;"Ambriansyah; Arbainsyah AA 1661 ";6;4;1996;Ganesan, SK;2011-10-01T00:00:00;<NA>;Botany;L.1759541;0;0;0;Ambriansyah;;0;1;10;2011;0;0;0;0;0;0;L1759541;1661;hirta;"Ambriansyah; Arbainsyah";Ganesan SK
Maasia glauca (Hassk.) Mols, Kessler & Rogstad;Maasia;ID;Central Sulawesi: Donggala Regency, Pangi-Binangga NR, Puncak Beringin Study area;-0.716667;120.05;Bynum, EL;Bynum, EL  7004 ;7;10;1990;nan;<NA>;<NA>;Botany;L.1761237;0;0;0;Bynum;;0;;;;0;0;0;0;0;0;L1761237;7004;glauca;Bynum EL;<NA>
Desmos chinensis Lour.;Desmos;ID;Archipel. Ind. Java. Djapara, Ngarengan.;-6.442;110.7569;Koorders, SH;Koorders, SH  37218 ;21;5;1899;Koorders, SH;<NA>;<NA>;Botany;L.1760408;0;0;0;Koorders;;0;;;;0;0;0;0;0;0;L1760408;37218;chinensis;Koorders SH;Koorders SH
Platymitra macrocarpa Boerl.;Platymitra;ID;S.W. Java, Lower slope of Mt. Hondje near Tamandjaja.;-6.716667;105.566667;Kostermans, AJGH;Kostermans, AJGH  19372 ;3;1;1962;Kessler, PJA;1988-04-01T00:00:00;<NA>;Botany;L.1758557;0;0;0;Kostermans;;0;1;4;1988;0;0;0;0;0;0;L1758557;19372;macrocarpa;Kostermans AJGH;Kessler PJA
Maasia glauca (Hassk.) Mols, Kessler & Rogstad;Maasia;ID;"W Kalimantan Province, G. Bentuang area; 5-10km N of Masa Village, 150km NE of Pontianak";0.876948;110.249738;Burley, JS;"Burley, JS; et al.  2842 ";24;6;1989;nan;<NA>;<NA>;Botany;L.1761248;0;0;0;Burley;;0;;;;0;0;0;0;0;0;L1761248;2842;glauca;"Burley JS; et al.";<NA>
Polyalthia cauliflora Hook.f. & Thomson;Polyalthia;ID;Gn Palung Nature Reserve, c 100 km S of Pontianak, W Kalimantan;-1.216667;110.133333;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5615 ";25;6;1986;Setten, AK van;<NA>;<NA>;Botany;L.1758058;0;0;0;Balgooy;;0;;;;0;0;0;0;0;0;L1758058;5615;cauliflora;"Balgooy MMJ van; Setten AK van";Setten AK van
Popowia pisocarpa (Blume) Endl.;Popowia;ID;"Central East Borneo; W Koetai; no.19, near L. Poehoes";0.0;116.5;Endert, FH;Endert, FH  4887 ;14;11;1925;Ganesan, SK;2011-10-01T00:00:00;<NA>;Botany;L.1759169;0;0;0;Endert;;0;1;10;2011;0;0;0;0;0;0;L1759169;4887;pisocarpa;Endert FH;Ganesan SK
Mitrephora sundaica Weeras. & R.M.K.Saunders;Mitrephora;ID;Indonesia. W. Flores. S. coastal zone near Mborong.;-8.675;122.091667;Kostermans, AJGH;Kostermans, AJGH  22003 A;11;4;1965;Weerasooriya, AD;2001-03-01T00:00:00;<NA>;Botany;L.1762104;0;0;0;Kostermans;A;0;1;3;2001;0;0;0;0;0;0;L1762104;22003;sundaica;Kostermans AJGH;Weerasooriya AD
Popowia pisocarpa (Blume) Endl.;Popowia;ID;East Kalimantan, Coal mining company KPC, Sangatta.;0.833333;117.666667;Kessler, PJA;"Kessler, PJA; et al.  1145 ";13;4;1995;Ganesan, SK;2011-10-01T00:00:00;<NA>;Botany;L.1759181;0;0;0;Kessler;;0;1;10;2011;0;0;0;0;0;0;L1759181;1145;pisocarpa;"Kessler PJA; et al.";Ganesan SK
Polyalthia Blume;Polyalthia;ID;W. Sumbawa, Mt. Batulanteh, N.W. slope.;-8.6;117.3;Kostermans, AJGH;Kostermans, AJGH  18760 ;7;5;1961;nan;<NA>;<NA>;Botany;L.1759886;0;0;0;Kostermans;;0;;;;0;0;0;0;0;0;L1759886;18760;;Kostermans AJGH;<NA>
Phaeanthus splendens Miq.;Phaeanthus;ID;"Malesia, Indonesia, Borneo, Central Kalimantan, Km 23, Nyaru Menteng Arboretum, c. 2.02 S; 113.46 E.";-2.033333;113.766667;Kessler, PJA;Kessler, PJA  1561 ;30;10;1996;Mols, JB;<NA>;<NA>;Botany;L.1758601;0;0;0;Kessler;;0;;;;0;0;0;0;0;0;L1758601;1561;splendens;Kessler PJA;Mols JB
Ellipeia Hook.f. & Thomson;Uvaria;ID;Indonesia. Sumbawa.;-8.666667;118.0;Colfs, PFA;Colfs, PFA  249 ;;;;Meade, CV;2000-07-01T00:00:00;<NA>;Botany;L.1760760;0;0;0;Colfs;;0;1;7;2000;0;0;0;0;0;0;L1760760;249;;Colfs PFA;Meade CV
Phaeanthus sumatrana Miq.;Phaeanthus;ID;"Malesia, Indonesia, Sumatra, Northern Sumatra, Atjeh, Southern part of Gunung Leuser Nature Reserves, Alas River Valley, near the mouth of the Bengkong River, c. 50 km S. of Kutacane, c. 3.00 N; 97.50 E.";3.0;97.833333;Wilde, WJJO de;"Wilde, WJJO de; Wilde-Duyfjes, BEE de  18774 ";16;7;1979;Mols, JB;<NA>;<NA>;Botany;L.1758574;0;0;0;Wilde;;0;;;;0;0;0;0;0;0;L1758574;18774;sumatrana;"Wilde WJJO de; Wilde-Duyfjes BEE de";Mols JB
Popowia hirta Miq.;Popowia;ID;Inhutani 1 concession area, Labanan, along logging road, Trayek E.;1.966667;117.25;Kessler, PJA;"Kessler, PJA; et al. Berau 1628 ";6;3;2000;Xue, B;2012-10-01T00:00:00;<NA>;Botany;L.1759524;0;0;0;Kessler;;0;1;10;2012;0;0;0;0;0;0;L1759524;1628;hirta;"Kessler PJA; et al.";Xue B
Desmos chinensis Lour.;Desmos;ID;Archipel. Ind. Java. Bagelen. Karanganjer.;-7.82;110.016667;Koorders, SH;Koorders, SH  29752 ;22;2;1898;Koorders, SH;<NA>;<NA>;Botany;L.1760403;0;0;0;Koorders;;0;;;;0;0;0;0;0;0;L1760403;29752;chinensis;Koorders SH;Koorders SH
Popowia pisocarpa (Blume) Endl.;Popowia;ID;Muluccas Halmahera, Gunung Sembilan;1.0;128.0;Idjan;"Idjan; Mochtar  288 ";1;10;1951;nan;<NA>;<NA>;Botany;L.1759091;0;0;0;Idjan;;0;;;;0;0;0;0;0;0;L1759091;288;pisocarpa;"Idjan; Mochtar";<NA>
Polyalthia cauliflora Hook.f. & Thomson;Polyalthia;ID;O. helling G. Ranai, Boengoeran.;3.95;108.35;Steenis, CGGJ van;Steenis, CGGJ van  1107 ;9;4;1928;nan;<NA>;<NA>;Botany;L.1758295;0;0;0;Steenis;;0;;;;0;0;0;0;0;0;L1758295;1107;cauliflora;Steenis CGGJ van;<NA>
Maasia glauca (Hassk.) Mols, Kessler & Rogstad;Maasia;ID;"Aisaoe, Sebosiari; Subdivision Seroei; Isle of Japen; Div. Geelvinckbay";-1.7382;136.7173;Iwanggin, GT;Iwanggin, GT BW(Ind.) 9246 ;22;9;1960;nan;<NA>;<NA>;Botany;L.1761176;0;0;0;Iwanggin;;0;;;;0;0;0;0;0;0;L1761176;9246;glauca;Iwanggin GT;<NA>
Mitrella kentii (Blume) Miq.;Mitrella;ID;Bangka, Lobok-besar;-2.6;106.55;Kostermans, AJGH;"Kostermans, AJGH; Anta  826 ";21;9;1949;nan;<NA>;<NA>;Botany;L.1761773;0;0;0;Kostermans;;0;;;;0;0;0;0;0;0;L1761773;826;kentii;"Kostermans AJGH; Anta";<NA>
Popowia pisocarpa (Blume) Endl.;Popowia;ID;Borneo, Bukit Raya;-0.666666;112.683333;Nooteboom, HP;Nooteboom, HP  4071 ;26;11;1982;Ganesan, SK;2011-10-01T00:00:00;<NA>;Botany;L.1759250;0;0;0;Nooteboom;;0;1;10;2011;0;0;0;0;0;0;L1759250;4071;pisocarpa;Nooteboom HP;Ganesan SK
Phaeanthus splendens Miq.;Phaeanthus;ID;"Malesia, Indonesia, Borneo, Kalimantan Barat, Liang Gagang. c. 3.32 S; 114.43 E.";-3.533333;114.716667;Hallier, JG;Hallier, JG  3048 ;;;;Mols, JB;<NA>;<NA>;Botany;L.1758631;0;0;0;Hallier;;0;;;;0;0;0;0;0;0;L1758631;3048;splendens;Hallier JG;Mols JB
Popowia odoardi Diels;Popowia;ID;"Indonesia, Borneo, G. Bentuang area; 5-10 km north of Masa village; 150 km NE of Pontianak, W. Kalimantan Province; Gunung Bentuang, E side.0.52 N; 100.26 E; 400 m alt.";0.866667;110.433333;Burley, JS;"Burley, JS; et al.  3184 ";3;7;1989;Moeljono, S;2002-10-12T00:00:00;<NA>;Botany;L.1759401;0;0;0;Burley;;0;12;10;2002;0;0;0;0;0;0;L1759401;3184;odoardi;"Burley JS; et al.";Moeljono S
Monoon lateriflorum (Blume) Miq.;Polyalthia;ID;"Morotai; W slope of Sabatai.";2.233333;128.416666;Lam, HJ;Lam, HJ  3565 ;23;6;1926;Xue, B;2012-10-01T00:00:00;<NA>;Botany;L.1757678;0;0;0;Lam;;0;1;10;2012;0;0;0;0;0;0;L1757678;3565;lateriflora;Lam HJ;Xue B
Dasymaschalon blumei Finet & Gagnep.;Dasymaschalon;ID;Kebun raja, Bogor.;-6.583333;106.783333;Garden, BB;"Bogor Botanical Garden; Heel, WA van XX.D. 70 ";1;5;1969;nan;<NA>;<NA>;Botany;L.1756280;0;0;0;Bogor;;0;;;;0;0;0;0;0;0;L1756280;70;dasymaschalum;"Bogor Botanical Garden; Heel WA van";<NA>
Polyalthia cauliflora Hook.f. & Thomson;Polyalthia;ID;East Kalimantan, Berau, Inhutani I area, road to tanjung Redeb. c. 1 km from Labanan ( base camp Inhutani I ).;2.083333;117.283333;Kessler, PJA;"Kessler, PJA; et al. Berau 282 ";14;2;1997;Turner, IM;2010-03-05T00:00:00;<NA>;Botany;L.1758299;0;0;0;Kessler;;0;5;3;2010;0;0;0;0;0;0;L1758299;282;cauliflora;"Kessler PJA; et al.";Turner IM
Orophea Blume;Orophea;ID;Gunung Leuser Nature Reserve, Atjeh, North Sumatra, Ketambe, valley of Lau Alas, near tributary of Lau Ketambe;3.083333;97.916667;Wilde, WJJO de;"Wilde, WJJO de; Wilde-Duyfjes, BEE de  12255 ";22;5;1972;Kessler, PJA;1986-01-01T00:00:00;<NA>;Botany;L.1758945;0;0;0;Wilde;;0;1;1;1986;0;0;0;0;0;0;L1758945;12255;;"Wilde WJJO de; Wilde-Duyfjes BEE de";Kessler PJA
Popowia pisocarpa (Blume) Endl.;Popowia;ID;"Kab. Padang Pariaman; Sipisang, 40 km north from Padang, Anak Air (stream) Ganggu.";-0.55;100.35;Okada, H;"Okada, H; et al.  14 ";24;2;1994;Kessler, PJA;1997-11-01T00:00:00;<NA>;Botany;L.1759351;0;0;0;Okada;;0;1;11;1997;0;0;0;0;0;0;L1759351;14;pisocarpa;"Okada H; et al.";Kessler PJA
Popowia bancana Scheff.;Popowia;ID;Bangka;-2.25;106.0;Teijsmann, JE;Teijsmann, JE  s.n. ;;;;nan;<NA>;<NA>;Botany;L.1759602;0;0;0;Teijsmann;;0;;;;0;0;0;0;0;0;L1759602;nan;bancana;Teijsmann JE;<NA>
Haplostichanthus F.Muell.;Haplostichanthus;ID;Netherlands New Guinea, Vogelkop Peninsula, Aifat river valley.;-1.366667;132.6;Royen, P van;"Royen, P van; Sleumer, HO  6878 ";20;10;1961;Heusden, ECH van;<NA>;<NA>;Botany;L.1761066;0;0;0;Royen;;0;;;;0;0;0;0;0;0;L1761066;6878;;"Royen P van; Sleumer HO";Heusden ECH van
Polyalthia Blume;Polyalthia;ID;Netherlands New Guinea, Voglkop Peninsula, Kebar valley.;-0.8474;133.1457;Royen, P van;"Royen, P van; Sleumer, HO  8252 ";13;12;1961;nan;<NA>;<NA>;Botany;L.1759761;0;0;0;Royen;;0;;;;0;0;0;0;0;0;L1759761;8252;;"Royen P van; Sleumer HO";<NA>
Orophea Blume;Orophea;ID;East Kalimantan, P.T. Inhutani I Berau area. Along road km 37 from Desa Labanan - Desa Kelai.;1.933333;117.233333;Sidiyasa, K;"Sidiyasa, K; et al. Berau 1287 ";19;5;1998;Kessler, PJA;1998-06-01T00:00:00;<NA>;Botany;L.1758874;0;0;0;Sidiyasa;;0;1;6;1998;0;0;0;0;0;0;L1758874;1287;;"Sidiyasa K; et al.";Kessler PJA
Polyalthia Blume;Polyalthia;ID;Indonesia. Talaud, Karakelang, E. of Beo.;4.22866;126.79871;Lam, HJ;Lam, HJ  2582 ;25;4;1926;Kessler, PJA;2001-12-01T00:00:00;<NA>;Botany;L.1759674;0;0;0;Lam;;0;1;12;2001;0;0;0;0;0;0;L1759674;2582;;Lam HJ;Kessler PJA
Polyalthia Blume;Polyalthia;ID;"Sulawesi Utara; 250km W. of Gorontalo; 75km inland from Papayuto, on tributary of Sungai Papayuto.";0.75;121.5;Burley, JS;"Burley, JS; et al. NGS 4053 ";25;3;1990;nan;<NA>;<NA>;Botany;L.1759910;0;0;0;Burley;;0;;;;0;0;0;0;0;0;L1759910;4053;;"Burley JS; et al.";<NA>
Goniothalamus (Blume) Hook.f. & Thomson;Goniothalamus;ID;"Archipel. Ind.: Nw. Guinea; sub.distr. Manokwari Vogelkop; Warnapi, 15 km. north of Ransiki.";-1.133333;134.916667;Kostermans, AJGH;Kostermans, AJGH  2624 ;22;9;1948;nan;<NA>;<NA>;Botany;L.1761402;0;0;0;Kostermans;;0;;;;0;0;0;0;0;0;L1761402;2624;;Kostermans AJGH;<NA>
Artabotrys suaveolens var. parviflorus (Miq.) Miq.;Artabotrys;ID;Archipel. Ind. Borneo, Pontianak.;-0.033333;109.333333;Teijsmann, JE;Teijsmann, JE  s.n. ;;;;Boerlage, JG;<NA>;<NA>;Botany;L.1760090;0;0;0;Teijsmann;;0;;;;0;0;0;0;0;0;L1760090;nan;suaveolens;Teijsmann JE;Boerlage JG
Polyalthia Blume;Polyalthia;ID;Plants of the Bird's Head Peninsula, Irian Jaya. Sourroundings of Ayawasi.;-1.15;132.483333;Ridsdale, CE;Ridsdale, CE  2418 ;28;3;1996;nan;<NA>;<NA>;Botany;L.1759704;0;0;0;Ridsdale;;0;;;;0;0;0;0;0;0;L1759704;2418;;Ridsdale CE;<NA>
Popowia pisocarpa (Blume) Endl.;Popowia;ID;Tigapulu Mts., Riau Province, 5 km W of Talanglakat on Rengat-Jambi Road, Bukit Karampal area.;-0.766667;102.533333;Burley, JS;"Burley, JS; Turkirin; et al.  1161 ";5;11;1988;nan;<NA>;<NA>;Botany;L.1759353;0;0;0;Burley;;0;;;;0;0;0;0;0;0;L1759353;1161;pisocarpa;"Burley JS; Turkirin; et al.";<NA>
Polyalthia Blume;Polyalthia;ID;Brnhard Camp, Idenburg River.;-2.9;138.45;Brass, LJ;"Brass, LJ; Versteegh, C  13575 ";1;4;1939;nan;<NA>;<NA>;Botany;L.1759802;0;0;0;Brass;;0;;;;0;0;0;0;0;0;L1759802;13575;;"Brass LJ; Versteegh C";<NA>
Mitrephora celebica Scheff.;Mitrephora;ID;Bolaang Mongondow;0.9411;124.1556;Vogel, EF de;Vogel, EF de  2586 ;22;10;1973;nan;<NA>;<NA>;Botany;L.1757493;0;0;0;Vogel;;0;;;;0;0;0;0;0;0;L1757493;2586;celebica;Vogel EF de;<NA>
Popowia odoardi Diels;Popowia;ID;"Indonesia, Borneo, W. Kalimantan, G. Bentuang area; 5-10 km N of Masa village; 150 km NE of Pontianak, Ridge SW of G. Bentuang.0.56 N; 100.26 E; 675m alt.";0.933333;110.433333;Burley, JS;"Burley, JS; et al.  3285 ";6;7;1989;Moeljono, S;2002-10-12T00:00:00;<NA>;Botany;L.1759394;0;0;0;Burley;;0;12;10;2002;0;0;0;0;0;0;L1759394;3285;odoardi;"Burley JS; et al.";Moeljono S
Polyalthia Blume;Polyalthia;ID;"Sulawesi Utara; 250 km W. of Gorontalo; 75 km inland from Papayuto, on tributary of Sungai Papayuto.";0.75;121.5;Burley, JS;"Burley, JS; Turkirin; et al.  4218 ";30;3;1990;Kessler, PJA;1998-08-01T00:00:00;<NA>;Botany;L.1759921;0;0;0;Burley;;0;1;8;1998;0;0;0;0;0;0;L1759921;4218;;"Burley JS; Turkirin; et al.";Kessler PJA
Phaeanthus splendens Miq.;Phaeanthus;ID;"Malesia, Indonesia, Borneo, Kalimantan Barat, Liang Gagang. c. 3.32 S; 114.43 E.";-3.533333;114.716667;Hallier, JG;Hallier, JG  3048 ;;;;Mols, JB;<NA>;<NA>;Botany;L.1758632;0;0;0;Hallier;;0;;;;0;0;0;0;0;0;L1758632;3048;splendens;Hallier JG;Mols JB
Popowia pisocarpa (Blume) Endl.;Popowia;ID;Borneo, Bukit Raya.;-0.683333;112.75;Nooteboom, HP;Nooteboom, HP  4717 ;31;1;1983;Moeljono, S;2002-10-12T00:00:00;<NA>;Botany;L.1759126;0;0;0;Nooteboom;;0;12;10;2002;0;0;0;0;0;0;L1759126;4717;pisocarpa;Nooteboom HP;Moeljono S
Mitrephora celebica Scheff.;Mitrephora;ID;Indonesia, Java, Kebun Raya Bogor.;-6.583333;106.783333;Kessler, PJA;Kessler, PJA IV.H.51/ 51 a;1;1;1999;nan;<NA>;<NA>;Botany;L.1757451;0;0;0;Kessler;a;0;;;;0;0;0;0;0;0;L1757451;51;celebica;Kessler PJA;<NA>
Polyalthia cauliflora Hook.f. & Thomson;Polyalthia;ID;Borneo, Kalimantan Barat, Ketapang, Gunung Palung National Park, Cabang Panti Research Site, Trail DA18.05n5.;-1.216667;110.1;Laman, TG;"Laman, TG; et al.  1281 ";16;10;1997;Ismail;1997-12-01T00:00:00;<NA>;Botany;L.1758351;0;0;0;Laman;;0;1;12;1997;0;0;0;0;0;0;L1758351;1281;cauliflora;"Laman TG; et al.";Ismail
Monoon ramiflorum (Merr.) B.Xue & R.M.K.Saunders;Polyalthia;ID;Holtekang, Nw. Guinea, Hollandia;-2.5267;140.7143;Versteegh, C;Versteegh, C BW(Ind.) 51 ;9;10;1953;Nurmawati, S;2017-08-01T00:00:00;<NA>;Botany;L.1759692;0;0;0;Versteegh;;0;1;8;2017;0;0;0;0;0;0;L1759692;51;ramiflora;Versteegh C;Nurmawati S
Polyalthia Blume;Polyalthia;ID;Molukken, Soela Eil. (Sanana), Wai Taboekoh;-2.39637;126.06023;Unknown;Unknown bb 28789 ;4;8;1939;nan;<NA>;<NA>;Botany;L.1759865;0;0;0;Unknown;;0;;;;0;0;0;0;0;0;L1759865;28789;;Unknown;<NA>
Polyalthia Blume;Polyalthia;ID;Oemboei, near Andai, SW of Manokwari.;-0.916667;134.0;Moll, VW;Moll, VW BW(Ind.) 9772 ;21;5;1960;nan;<NA>;<NA>;Botany;L.1757513;0;0;0;Moll;;0;;;;0;0;0;0;0;0;L1757513;9772;;Moll VW;<NA>
Popowia pisocarpa (Blume) Endl.;Popowia;ID;East Kalimantan, long Sungai Barang forest area.;1.666667;115.0;Ambriansyah;Ambriansyah AA 798 ;17;5;1993;Ganesan, SK;2011-10-01T00:00:00;<NA>;Botany;L.1759304;0;0;0;Ambriansyah;;0;1;10;2011;0;0;0;0;0;0;L1759304;798;pisocarpa;Ambriansyah;Ganesan SK
Desmos Lour.;Desmos;ID;East Kutai Reserve, vicinity of Sengata and Mentoko Rivers.;0.5;117.333333;Leighton, M;Leighton, M  196 ;24;5;1978;Kessler, PJA;2003-03-01T00:00:00;<NA>;Botany;L.1760530;0;0;0;Leighton;;0;1;3;2003;0;0;0;0;0;0;L1760530;196;;Leighton M;Kessler PJA
Polyalthia cauliflora Hook.f. & Thomson;Polyalthia;ID;Djaro Dam, ca 10 km NE of Muara Uja, Kalimantan Selatan, Borneo.;-1.833333;115.666667;Vogel, EF de;Vogel, EF de  742 ;12;11;1971;nan;<NA>;<NA>;Botany;L.1758231;0;0;0;Vogel;;0;;;;0;0;0;0;0;0;L1758231;742;cauliflora;Vogel EF de;<NA>
Orophea trigyna Miq.;Orophea;ID;"East Borneo; E. Kutei. (Sangkulirang subdiv.), Along Menubar R.";0.983333;117.966666;Kostermans, AJGH;Kostermans, AJGH  5433 ;24;6;1951;Kessler, PJA;1986-01-01T00:00:00;<NA>;Botany;L.1759027;0;0;0;Kostermans;;0;1;1;1986;0;0;0;0;0;0;L1759027;5433;trigyna;Kostermans AJGH;Kessler PJA
Orophea Blume;Orophea;ID;<NA>;-5.383333;104.416667;Jacobs, M;Jacobs, M  8486 ;18;5;1968;nan;1999-07-01T00:00:00;<NA>;Botany;L.1758942;0;0;0;Jacobs;;0;1;7;1999;0;0;0;0;0;0;L1758942;8486;;Jacobs M;Leonardía AAP
Popowia pisocarpa (Blume) Endl.;Popowia;ID;"Indonesia, Borneo, C. Kalimantan. Plot 3. Sangai, S. Mentaya, Kab. Kotawaringin Timur.1.29 S; 112.31 E; 50 m alt.";-1.483333;112.516667;Latupeirissa, ER;Latupeirissa, ER  94390 ;1;12;1994;Ganesan, SK;2011-10-01T00:00:00;<NA>;Botany;L.1759161;0;0;0;Latupeirissa;;0;1;10;2011;0;0;0;0;0;0;L1759161;94390;pisocarpa;Latupeirissa ER;Ganesan SK
Popowia odoardi Diels;Popowia;ID;Borneo, Bukit Raya;-0.666666;112.683333;Nooteboom, HP;Nooteboom, HP  4468 ;8;1;1983;Ganesan, SK;2011-10-01T00:00:00;<NA>;Botany;L.1759467;0;0;0;Nooteboom;;0;1;10;2011;0;0;0;0;0;0;L1759467;4468;odoardi;Nooteboom HP;Ganesan SK
