scientificName;genus;countryID;locality;ddlat;ddlong;recordedBy;colNum_full;colDay;colMonth;colYear;detBy;detDate;institute;herbarium_code;orig_BC;specificEpithet;speciesAuthor;collectorID;prefix;sufix;colDate;detDay;detMonth;detYear;country;continent;coordinateID;barcode;colNum;ORIG_recBy;coll_surname;genus_old;specificEpithet_old
Xylopia ferruginea (Hook.f. & Thomson) Baill.;Xylopia;ID;"Indonesia, Borneo, Kalimantan Tengah, Ulu Barito.0.02 S; 114.06 E; 0 m alt.";-0.033333;114.1;Sidiyasa, K;Sidiyasa, K PBU 236 ;1;6;1990;Kessler PJA;nan;nan;Botany;L  0047190;ferruginea;0;0;Sidiyasa;;0;0;0;0;0;0;0;L0047190;236;Sidiyasa K;Sidiyasa;Xylopia;ferruginea
Goniothalamus malayanus Hook.f. & Thomson;Goniothalamus;ID;Indonesia. Central Kalimantan, Kabupaten Kapuas, Katunjung village.;-2.166667;114.416667;Sidiyasa, K;"Sidiyasa, K; et al.  2637 ";16;10;2001;Turner IM;2010-03-03T00:00:00;nan;Botany;L.1765468;malayanus;0;0;Sidiyasa;;0;0;0;0;0;0;0;L1765468;2637;"Sidiyasa K; et al.";Sidiyasa;Goniothalamus;malayanus
Goniothalamus malayanus Hook.f. & Thomson;Goniothalamus;ID;Indonesia. Central Kalimantan, Kabupaten Kapuas, Katunjung village.;-2.166667;114.416667;Sidiyasa, K;"Sidiyasa, K; et al.  2637 ";16;10;2001;Turner IM;2010-03-03T00:00:00;nan;Botany;L.1765467;malayanus;0;0;Sidiyasa;;0;0;0;0;0;0;0;L1765467;2637;"Sidiyasa K; et al.";Sidiyasa;Goniothalamus;malayanus
Artabotrys R.Br.;Artabotrys;ID;Base camp P.B.U. and environs.;-0.033333;114.09999999999998;Sidiyasa, K;Sidiyasa, K PBU 333 ;6;6;1990;Kessler PJA;nan;nan;Botany;L.1760109;nan;0;0;Sidiyasa;;0;0;0;0;0;0;0;L1760109;333;Sidiyasa K;Sidiyasa;Artabotrys;nan
Artabotrys R.Br.;Artabotrys;ID;Base camp P.B.U. and environs.;-0.033333;114.09999999999998;Sidiyasa, K;Sidiyasa, K PBU 333 ;6;6;1990;Kessler PJA;nan;nan;Botany;L.1760110;nan;0;0;Sidiyasa;;0;0;0;0;0;0;0;L1760110;333;Sidiyasa K;Sidiyasa;Artabotrys;nan
Artabotrys R.Br.;Artabotrys;ID;Base camp P.B.U. and environs.;-0.033333;114.09999999999998;Sidiyasa, K;Sidiyasa, K PBU 333 ;6;6;1990;Kessler PJA;nan;nan;Botany;L  0197307;nan;0;0;Sidiyasa;;0;0;0;0;0;0;0;L0197307;333;Sidiyasa K;Sidiyasa;Artabotrys;nan
Xylopia stenopetala Oliv.;Xylopia;ID;East Kalimantan, Paser District, Gunung Lumut Protection Forest, off Km 61 road to Mului Village.;-1.27;115.59999999999998;Sidiyasa, K;"Sidiyasa, K; et al.  3330 ";12;11;2005;nan;nan;nan;Botany;L.3728299;stenopetala;0;0;Sidiyasa;;0;0;0;0;0;0;0;L3728299;3330;"Sidiyasa K; et al.";Sidiyasa;Xylopia;stenopetala
Xylopia stenopetala Oliv.;Xylopia;ID;East Kalimantan, Paser District, Gunung Lumut Protection Forest, off Km 61 road to Mului Village.;-1.27;115.59999999999998;Sidiyasa, K;"Sidiyasa, K; et al.  3330 ";12;11;2005;nan;nan;nan;Botany;L.3728286;stenopetala;0;0;Sidiyasa;;0;0;0;0;0;0;0;L3728286;3330;"Sidiyasa K; et al.";Sidiyasa;Xylopia;stenopetala
Xylopia stenopetala Oliv.;Xylopia;ID;East Kalimantan, Paser District, Gunung Lumut Protection Forest, off Km 61 road to Mului Village.;-1.27;115.59999999999998;Sidiyasa, K;"Sidiyasa, K; et al.  3330 ";12;11;2005;nan;nan;nan;Botany;L.3728285;stenopetala;0;0;Sidiyasa;;0;0;0;0;0;0;0;L3728285;3330;"Sidiyasa K; et al.";Sidiyasa;Xylopia;stenopetala
Goniothalamus fasciculatus Boerl.;Goniothalamus;ID;E. Kalimantan, Paser District, Gunung Lumut Protection Forest, border between Rantau Layung and Mului, off km 64;-1.45;115.983333;Sidiyasa, K;"Sidiyasa, K; et al.  3413 ";15;11;2005;nan;nan;nan;Botany;L.3728282;fasciculatus;0;0;Sidiyasa;;0;0;0;0;0;0;0;L3728282;3413;"Sidiyasa K; et al.";Sidiyasa;Goniothalamus;fasciculatus
Goniothalamus fasciculatus Boerl.;Goniothalamus;ID;E. Kalimantan, Paser District, Gunung Lumut Protection Forest, border between Rantau Layung and Mului, off km 64;-1.45;115.983333;Sidiyasa, K;"Sidiyasa, K; et al.  3413 ";15;11;2005;nan;nan;nan;Botany;L.1765434;fasciculatus;0;0;Sidiyasa;;0;0;0;0;0;0;0;L1765434;3413;"Sidiyasa K; et al.";Sidiyasa;Goniothalamus;fasciculatus
