recorded_by;colnum_full;det_by;det_date;col_date;region;locality;barcode;country;genus;specific_epithet;scientific_name;specificEpithet;species_author;collector_id;prefix;sufix;col_day;col_month;col_year;det_day;det_month;det_year;country_id;continent;coordinate_id;ddlong;ddlat;institute;herbarium_code;colnum;orig_bc;orig_recby;orig_detby;coll_surname;to_check;to_check_det
Reillo, J;;Kessler, P;01/05/2004 - 31/05/2004;01/09/1912 - 31/10/1912;Zamboanga del Sur;Philippines. Santa Maria. District of Zamboanga. Mindanao;P01967886;Philippines;Mitrephora;samarensis;0;0;0;0;<NA>;<NA>;1;9;1912;1;5;2004;0;0;0;122.066;6.937;0;0;nan;P01967886;Reillo, J.;Kessler, P.;Reillo;;
Ramos, M;;nan;<NA>;01/12/1922 - 31/12/1922;Leyte;Philippines. Cabalian, Leyte;P01967892;Philippines;Mitrephora;reflexa;0;0;0;0;<NA>;<NA>;1;12;1922;;;;0;0;0;125.1752861;10.2653512;0;0;nan;P01967892;Ramos, M.;<NA>;Ramos;;
Barthe;;Kessler, P;01/04/1998 - 30/04/1998;01/01/1857 - 31/12/1857;National Capital Region (NCR);Manille;P01983378;Philippines;Polyalthia;sp.;0;0;0;0;<NA>;<NA>;1;1;1857;1;4;1998;0;0;0;120.9809674;14.5907332;0;0;nan;P01983378;Barthe;Kessler, P.;Barthe;;
Ramos, M;;nan;<NA>;01/08/1916 - 30/09/1916;Nueva Ecija;Philippines. Mt. Umingan. Province of Nueva Ecija. Luzon;P01983384;Philippines;Polyalthia;sp.;0;0;0;0;<NA>;<NA>;1;8;1916;;;;0;0;0;121.37;15.517;0;0;nan;P01983384;Ramos, M.;<NA>;Ramos;;
Cuming;;nan;<NA>;<NA>;National Capital Region (NCR);Manille;P01983392;Philippines;Polyalthia;sp.;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;120.9809674;14.5907332;0;0;nan;P01983392;Cuming;<NA>;Cuming;;
Reillo, J;;nan;<NA>;01/09/1912 - 31/10/1912;Zamboanga del Sur;Philippines. Santa Maria. District of Zamboanga. Mindanao;P01983397;Philippines;Polyalthia;sp.;0;0;0;0;<NA>;<NA>;1;9;1912;;;;0;0;0;122.066;6.938;0;0;nan;P01983397;Reillo, J.;<NA>;Reillo;;
Ramos, M;;nan;<NA>;01/02/1926 - 31/03/1926;Isabela;Philippines. San Mariano. Isabela Province. Luzon;P01967895;Philippines;Mitrephora;reflexa;0;0;0;0;<NA>;<NA>;1;2;1926;;;;0;0;0;122.0127684;16.9835964;0;0;nan;P01967895;Ramos, M.;<NA>;Ramos;;
Ramos, M;;Merrill, ED;<NA>;01/04/1914 - 30/04/1914;Eastern Visayas (Region VIII);Philippine Plants. Samar;P01967896;Philippines;Mitrephora;reflexa;0;0;0;0;<NA>;<NA>;1;4;1914;;;;0;0;0;125.0;12.0;0;0;nan;P01967896;Ramos, M.;Merrill, E.D.;Ramos;;
Ramos, M;;nan;<NA>;01/12/1922 - 31/12/1922;Southern Leyte;Philippines. Cabalian. Leyte;P01967902;Philippines;Mitrephora;pictiflora;0;0;0;0;<NA>;<NA>;1;12;1922;;;;0;0;0;125.1743787;10.2623755;0;0;nan;P01967902;Ramos, M.;<NA>;Ramos;;
Alvarez, RJ;;nan;<NA>;01/08/1909 - 31/08/1909;Bataan;Philippines. Bataan Prov., Luzon.;P01981673;Philippines;Cyathocalyx;globosus;0;0;0;0;<NA>;<NA>;1;8;1909;;;;0;0;0;120.417;14.667;0;0;nan;P01981673;Alvarez, R.J.;<NA>;Alvarez;;
Agama, J;;nan;<NA>;01/05/1914 - 31/05/1914;Palawan;Philippines. Palawan;P01983407;Philippines;Polyalthia;sp.;0;0;0;0;<NA>;<NA>;1;5;1914;;;;0;0;0;118.75;10.0;0;0;nan;P01983407;Agama, J.;<NA>;Agama;;
Ramos, M;;Kessler, P;01/11/2003 - 30/11/2003;01/04/1914 - 30/04/1914;Eastern Visayas (Region VIII);Philippine Plants. Samar;P01981685;Philippines;Cyathocalyx;apoensis;0;0;0;0;<NA>;<NA>;1;4;1914;1;11;2003;0;0;0;125.11;11.96;0;0;nan;P01981685;Ramos, M.;Kessler, P.;Ramos;;
Ramos, M;;nan;<NA>;01/04/1921 - 30/04/1921;Occidental Mindoro;Philippines. Paluan. Mindoro;P02029204;Philippines;Artabotrys;cumingianus;0;0;0;0;<NA>;<NA>;1;4;1921;;;;0;0;0;120.4623373;13.4155816;0;0;nan;P02029204;Ramos, M.;<NA>;Ramos;;
