scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;to_check
Xylopia ngii D.M.Johnson & N.A.Murray;Xylopia;ID;<NA>;0.25;110.25;Jong W de;Jong, W de  439 ;10;8;1993;"Johnson DM; Murray NA";<NA>;<NA>;Botany;L.4370495;0;0;0;Jong;;0;;;;0;0;0;L4370495;439;ngii;Jong W de;"Johnson DM; Murray NA";"Johnson DM; Murray NA"
Xylopia heterotricha D.M.Johnson & N.A.Murray;Xylopia;ID;Archipel. Ind. Billiton.;-2.833333;107.916667;Rossum HIP van;Rossum, HIP van  46 ;;;;"Johnson DM; Murray NA";<NA>;<NA>;Botany;L.4370543;0;0;0;Rossum;;0;;;;0;0;0;L4370543;46;heterotricha;Rossum HIP van;"Johnson DM; Murray NA";"Johnson DM; Murray NA"
Xylopia caudata Hook.f. & Thomson;Xylopia;ID;Riouw en Ond Lingga;-0.2;104.616667;Boschproefstation;Boschproefstation bb 17174 ;14;11;1932;"Johnson DM; Murray NA";<NA>;<NA>;Botany;L.4370463;0;0;0;Boschproefstation;;0;;;;0;0;0;L4370463;17174;caudata;Boschproefstation;"Johnson DM; Murray NA";"Johnson DM; Murray NA"
Alphonsea teysmannii Boerl.;Alphonsea;ID;Indonesia, Kebun Raya Bogor, W Java;-6.583333;106.783333;Balgooy MMJ van;"Balgooy, MMJ van; Setten, AK van  5648 ";4;7;1986;<NA>;<NA>;<NA>;Botany;L  0298563;0;0;0;Balgooy;;0;;;;0;0;0;L0298563;5648;elliptica;"Balgooy MMJ van; Setten AK van";<NA>;<NA>
Xylopia heterotricha D.M.Johnson & N.A.Murray;Xylopia;ID;Bangka, Lobok Besar;-2.6;106.55;Andong;"Andong; Kostermans, AJGH bb 34048 ";14;9;1949;"Johnson DM; Murray NA";<NA>;<NA>;Botany;L.4370468;0;0;0;Andong;;0;;;;0;0;0;L4370468;34048;heterotricha;"Andong; Kostermans AJGH";"Johnson DM; Murray NA";"Johnson DM; Murray NA"
Xylopia heterotricha D.M.Johnson & N.A.Murray;Xylopia;ID;Bangka, Lobok Besar;-2.6;106.55;Andong;"Andong; Kostermans, AJGH bb 34048 ";14;9;1949;"Johnson DM; Murray NA";<NA>;<NA>;Botany;L.4370469;0;0;0;Andong;;0;;;;0;0;0;L4370469;34048;heterotricha;"Andong; Kostermans AJGH";"Johnson DM; Murray NA";"Johnson DM; Murray NA"
Xylopia caudata Hook.f. & Thomson;Xylopia;ID;Bangka, G. Maras;-5.006;119.5727;Kostermans AJGH;"Kostermans, AJGH; Anta  1312 ";26;10;1949;"Johnson DM; Murray NA";<NA>;<NA>;Botany;L.4370462;0;0;0;Kostermans;;0;;;;0;0;0;L4370462;1312;caudata;"Kostermans AJGH; Anta";"Johnson DM; Murray NA";"Johnson DM; Murray NA"
Xylopia ngii D.M.Johnson & N.A.Murray;Xylopia;ID;Wester afd. v. Borneo, Melawi, B. Oeloe, Bora-sepan;0.083333;111.483333;Boschproefstation;Boschproefstation bb 29037 ;23;7;1939;"Johnson DM; Murray NA";<NA>;<NA>;Botany;L.4370492;0;0;0;Boschproefstation;;0;;;;0;0;0;L4370492;29037;ngii;Boschproefstation;"Johnson DM; Murray NA";"Johnson DM; Murray NA"
Xylopia sumatrana (Miq.) D.M.Johnson & N.A.Murray;Unona;ID;"Climbing Gunung Bandahara; c. 6km NE of kampung Seldok (Alas Valley), c. 25 km N of Kutatjane.";4.410556;97.670833;Wilde WJJO de;"Wilde, WJJO de; Wilde-Duyfjes, BEE de  15599 ";20;3;1975;"Johnson DM; Murray NA";<NA>;<NA>;Botany;L.4370456;0;0;0;Wilde;;0;;;;0;0;0;L4370456;15599;sumatrana;"Wilde WJJO de; Wilde-Duyfjes BEE de";"Johnson DM; Murray NA";"Johnson DM; Murray NA"
Xylopia sumatrana (Miq.) D.M.Johnson & N.A.Murray;Unona;ID;Borneo, Sanggouw;1.133333;109.6;Hallier JG;Hallier, JG  881 ;1;1;1893;"Johnson DM; Murray NA";<NA>;<NA>;Botany;L.4370519;0;0;0;Hallier;;0;;;;0;0;0;L4370519;881;sumatrana;Hallier JG;"Johnson DM; Murray NA";"Johnson DM; Murray NA"
