scientificName;genus;specificEpithet;speciesAuthor;collectorID;recordedBy;colNum_full;prefix;colNum;sufix;colDate;colDay;colMonth;colYear;detBy;detDate;detDay;detMonth;detYear;countryID;country;continent;locality;coordinateID;ddlong;ddlat;institute;herbarium_code;barcode;orig_BC;coll_surname;region;ORIG_recBy
0;Friesodielsia;sp.;0;0;Ramos, M;;<NA>;nan;<NA>;01/02/1913 - 28/02/1913;1;2;1913;Kessler, P.;01/11/2003 - 30/11/2003;1;11;2003;0;Philippines;0;Philippines. San Antonio. Prov. Laguna. Luzon;0;121.052;14.367;0;0;P01986124;P01986124;Ramos;Laguna;Ramos, M.
0;Annona;muricata;0;0;Ramos, M;;<NA>;nan;<NA>;01/08/1914 - 31/08/1914;1;8;1914;<NA>;<NA>;;;;0;Philippines;0;Philippine plants. Province of Batangas. Luzon;0;120.92550256115466;13.8591144;0;0;P01984608;P01984608;Ramos;Batangas;Ramos, M.
0;Mitrephora;lanotan;0;0;Ramos, M;;<NA>;nan;<NA>;01/07/1914 - 31/08/1914;1;7;1914;Weerasooriya, A.D.;01/03/2001 - 31/03/2001;1;3;2001;0;Philippines;0;Philippines. Province of Batangas. Luzon;0;120.92550256115466;13.8591144;0;0;P00133829;P00133829;Ramos;Batangas;Ramos, M.
0;Cyathocalyx;apoensis;0;0;Ramos, M;;<NA>;nan;<NA>;01/04/1914 - 30/04/1914;1;4;1914;Kessler, P.;01/11/2003 - 30/11/2003;1;11;2003;0;Philippines;0;Philippine Plants. Samar;0;125.11;11.96;0;0;P01981685;P01981685;Ramos;Eastern Visayas (Region VIII);Ramos, M.
0;Goniothalamus;mindanaensis;0;0;Ramos, M;;<NA>;nan;<NA>;01/04/1914 - 30/04/1914;1;4;1914;<NA>;<NA>;;;;0;Philippines;0;Philippine plants. Samar;0;125.0;11.8333;0;0;P01988138;P01988138;Ramos;Samar;Ramos, M.
0;Mitrephora;reflexa;0;0;Ramos, M;;<NA>;nan;<NA>;01/04/1914 - 30/04/1914;1;4;1914;Merrill, E.D.;<NA>;;;;0;Philippines;0;Philippine Plants. Samar;0;125.0;12.0;0;0;P01967896;P01967896;Ramos;Eastern Visayas (Region VIII);Ramos, M.
0;Mitrephora;samarensis;0;0;Ramos, M;;<NA>;nan;<NA>;01/04/1914 - 30/04/1914;1;4;1914;Kessler, P.;03/09/1985 - 03/09/1985;3;9;1985;0;Philippines;0;Philippines. Samar;0;125.11;11.96;0;0;P00379284;P00379284;Ramos;Eastern Visayas (Region VIII);Ramos, M.
0;Neo-Uvaria;sp.;0;0;Ramos, M;;<NA>;nan;<NA>;01/03/1914 - 30/04/1914;1;3;1914;Kessler, P.;01/05/2004 - 31/05/2004;1;5;2004;0;Philippines;0;Samar;0;125.0;12.0;0;0;P01954526;P01954526;Ramos;Eastern Visayas (Region VIII);Ramos, M.
0;Goniothalamus;oblongipetalus;0;0;Ramos, M;;<NA>;nan;<NA>;01/09/1915 - 30/09/1915;1;9;1915;<NA>;<NA>;;;;0;Philippines;0;Bulusan Volcano, Province de Sorsogon, Luzon;0;124.05727386474611;12.768989918370245;0;0;P01988136;P01988136;Ramos;Sorsogon;Ramos, M.
0;Phaeanthus;ebracteolatus;0;0;Ramos, M;;<NA>;nan;<NA>;01/07/1915 - 31/08/1915;1;7;1915;Mols, J.B.;01/07/1998 - 31/07/1998;1;7;1998;0;Philippines;0;Philippines. Province of Sorsogon, Luzon.;0;123.916667;12.833333;0;0;P00372667;P00372667;Ramos;Sorsogon;Ramos, M.
