scientificName;genus;countryID;locality;ddlat;ddlong;recordedBy;colNum_full;colDay;colMonth;colYear;detBy;detDate;institute;herbarium_code;orig_BC;specificEpithet;speciesAuthor;collectorID;prefix;sufix;colDate;detDay;detMonth;detYear;country;continent;coordinateID;barcode;colNum;ORIG_recBy
Popowia pisocarpa (Blume) Endl.;Popowia;ID;Kebun Raya Bogor.;-6.583333;106.783333;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5683 ";8;7;1986;nan;nan;nan;Botany;L  0770376;pisocarpa;0;0;Balgooy;;0;0;0;0;0;0;0;L0770376;5683;"Balgooy MMJ van; Setten AK van"
Alphonsea Hook.f. & Thomson;Alphonsea;ID;nan;-6.583333;106.783333;Mols, JB;Mols, JB  16 ;4;9;2001;Kessler PJA;2001-09-01T00:00:00;nan;Botany;L  0770362;nan;0;0;Mols;;0;0;0;0;0;0;0;L0770362;16;Mols JB
Miliusa horsfieldii (Benn.) Pierre;Miliusa;ID;Kebun Raya Bogor, West Java.;-6.583333;106.783333;Balgooy, MMJ van;Balgooy, MMJ van  5140 ;9;9;1985;Chaowasku T;nan;nan;Botany;L  0770375;horsfieldii;0;0;Balgooy;;0;0;0;0;0;0;0;L0770375;5140;Balgooy MMJ van
Polyalthia rumphii (Blume ex Hensch.) Merr.;Hubera;ID;heuvel links achter Djaro Dam.;-1.833333;115.666667;Vogel, EF de;Vogel, EF de  2328 ;14;3;1973;nan;nan;nan;Botany;L.4414158;rumphii;0;0;Vogel;;0;0;0;0;0;0;0;L4414158;2328;Vogel EF de
Mezzettia umbellata Becc.;Mezzettia;ID;Archipel. Ind.: Borneo. foot of Mt. Kenepai.;0.7;111.716666;Hallier, JG;Hallier, JG  1624 ;1;1;1893;Kessler PJA;1989-05-01T00:00:00;nan;Botany;L  0770365;umbellata;0;0;Hallier;;0;0;0;0;0;0;0;L0770365;1624;Hallier JG
Annonaceae;nan;ID;achter Djaro.;-1.833333;115.666667;Vogel, EF de;Vogel, EF de  2248 ;9;3;1973;nan;nan;nan;Botany;L.4414211;nan;0;0;Vogel;;0;0;0;0;0;0;0;L4414211;2248;Vogel EF de
Stelechocarpus burahol (Blume) Hook.f. & Thomson;Stelechocarpus;ID;nan;-6.583333;106.783333;Mols, JB;Mols, JB  13 ;4;9;2001;Kessler PJA;2001-09-01T00:00:00;nan;Botany;L  0770363;burahol;0;0;Mols;;0;0;0;0;0;0;0;L0770363;13;Mols JB
Xylopia caudata Hook.f. & Thomson;Xylopia;ID;Landah, Ngabang.;0.383333;109.95;Boschproefstation;Boschproefstation bb 6412 ;28;4;1924;"Johnson DM; Murray NA";nan;nan;Botany;L.4370459;caudata;0;0;Boschproefstation;;0;0;0;0;0;0;0;L4370459;6412;Boschproefstation
Polyalthia teysmannii (Miq.) King;Polyalthia;ID;behind Djaro Dam, road to G. Sarempaka.;-1.833333;115.666667;Vogel, EF de;Vogel, EF de  2279 ;11;3;1973;nan;nan;nan;Botany;L.4414121;cauliflora;0;0;Vogel;;0;0;0;0;0;0;0;L4414121;2279;Vogel EF de
Miliusa horsfieldii (Benn.) Pierre;Miliusa;ID;Indonesia, Java, Kebun Raya Bogor.;-6.583333;106.783333;Mols, JB;Mols, JB  12 ;4;9;2001;nan;nan;nan;Botany;L  0770364;horsfieldii;0;0;Mols;;0;0;0;0;0;0;0;L0770364;12;Mols JB
Annonaceae;nan;ID;achter Djaro.;-1.833333;115.666667;Vogel, EF de;Vogel, EF de  2248 ;9;3;1973;nan;nan;nan;Botany;L.4414212;nan;0;0;Vogel;;0;0;0;0;0;0;0;L4414212;2248;Vogel EF de
Annonaceae;nan;ID;achter Djaro.;-1.833333;115.666667;Vogel, EF de;Vogel, EF de  2339 ;15;3;1973;nan;nan;nan;Botany;L.4414168;nan;0;0;Vogel;;0;0;0;0;0;0;0;L4414168;2339;Vogel EF de
Artabotrys suaveolens (Blume) Blume;Artabotrys;ID;Central Kalimantan, Kapuas river, Mentangai village, Blok AB area.;-2.266667;114.55;Ambriansyah;Ambriansyah AA 2698 ;11;3;2004;Ambriansyah;nan;nan;Botany;L.4407779;suaveolens;0;0;Ambriansyah;;0;0;0;0;0;0;0;L4407779;2698;Ambriansyah
Polyalthia cauliflora Hook.f. & Thomson;Polyalthia;ID;East Kalimantan, Gunung Mayong, Desa Talun Sayan, Kec.Pembeliangan, Kabupaten Nunukan.;4.166667;117.05;Ambriansyah;Ambriansyah AA 2380 ;13;9;2000;Kessler PJA;nan;nan;Botany;L.4407671;cauliflora;0;0;Ambriansyah;;0;0;0;0;0;0;0;L4407671;2380;Ambriansyah
Mezzettia umbellata Becc.;Mezzettia;ID;Central Kalimantan, Nyaru Menteng Arboretum.;-2.033333;113.783333;Sidiyasa, K;"Sidiyasa, K; Arifin, Z; Abadi, F  2446 ";15;1;2001;Sidiyasa K;nan;nan;Botany;L.4407411;umbellata;0;0;Sidiyasa;;0;0;0;0;0;0;0;L4407411;2446;"Sidiyasa K; Arifin Z; Abadi F"
Mitrephora (Blume) Hook.f. & Thomson;Mitrephora;ID;Indonesia, East Kalimantan, BOS-Samboja Lestari area;-1.033333;117.033333;Ambriansyah;Ambriansyah AA 2564 ;23;8;2003;Kessler PJA;2004-10-01T00:00:00;nan;Botany;L.4407777;nan;0;0;Ambriansyah;;0;0;0;0;0;0;0;L4407777;2564;Ambriansyah
Goniothalamus (Blume) Hook.f. & Thomson;Goniothalamus;ID;Central Kalimantan, Nyaru Menteng Arboretum.;-2.033333;113.783333;Sidiyasa, K;"Sidiyasa, K; Arifin, Z; Abadi, F  2399 ";12;1;2001;Sidiyasa K;nan;nan;Botany;L.4407409;nan;0;0;Sidiyasa;;0;0;0;0;0;0;0;L4407409;2399;"Sidiyasa K; Arifin Z; Abadi F"
Artabotrys R.Br.;Artabotrys;ID;Central Kalimantan, Kabupaten Kapuas, Kecamatan Timpah.;-1.716667;114.516667;Sidiyasa, K;"Sidiyasa, K; Ambriansyah; Adriansyah  2568 ";12;10;2001;Sidiyasa K;nan;nan;Botany;L.4407404;nan;0;0;Sidiyasa;;0;0;0;0;0;0;0;L4407404;2568;"Sidiyasa K; Ambriansyah; Adriansyah"
Xylopia sumatrana (Miq.) D.M.Johnson & N.A.Murray;Unona;ID;Meratus 5230 area, PT. ITCI Kenangan, Balikpapan.;-1.083333;116.7;Ambriansyah;Ambriansyah AA 611 ;27;9;1992;"Johnson DM; Murray NA";nan;nan;Botany;L.4407219;sumatrana;0;0;Ambriansyah;;0;0;0;0;0;0;0;L4407219;611;Ambriansyah
Goniothalamus (Blume) Hook.f. & Thomson;Goniothalamus;ID;East Kalimantan, Wanariset area, Wartono Kadri, Semoi road.;-0.990694;116.946944;Slik, JWF;"Slik, JWF; Arifin, Z  120 ";22;12;2001;Kessler PJA;nan;nan;Botany;L.4407669;nan;0;0;Slik;;0;0;0;0;0;0;0;L4407669;120;"Slik JWF; Arifin Z"
Fissistigma Griff.;Fissistigma;ID;Central Kalimantan, Kabupaten Kapuas, Kecamatan Timpah.;-1.716667;114.516667;Sidiyasa, K;"Sidiyasa, K; Ambriansyah; Adriansyah  2545 ";12;10;2001;Kessler PJA;nan;nan;Botany;L.4407407;nan;0;0;Sidiyasa;;0;0;0;0;0;0;0;L4407407;2545;"Sidiyasa K; Ambriansyah; Adriansyah"
Popowia pisocarpa (Blume) Endl.;Popowia;ID;South Kalimantan, Pulau Sebuku east of Pulau Laut, Daeng Setuju disturbed forest.;-3.516667;116.35;Ambriansyah;Ambriansyah AA 2426 ;29;4;2001;Ambriansyah;nan;nan;Botany;L.4407680;pisocarpa;0;0;Ambriansyah;;0;0;0;0;0;0;0;L4407680;2426;Ambriansyah
Mitrella Miq.;Mitrella;ID;Central Kalimantan, Nyaru Menteng Arboretum.;-2.033333;113.783333;Sidiyasa, K;"Sidiyasa, K; Arifin, Z; Abadi, F  2445 ";15;1;2001;Kessler PJA;nan;nan;Botany;L.4407402;nan;0;0;Sidiyasa;;0;0;0;0;0;0;0;L4407402;2445;"Sidiyasa K; Arifin Z; Abadi F"
Marsypopetalum Scheff.;Marsypopetalum;ID;Gunung Meratus PT. ITCI Balikpapan seberang.;-1.816667;115.733333;Ambriansyah;Ambriansyah AA 2510 ;1;3;2002;nan;nan;nan;Botany;L.4406214;nan;0;0;Ambriansyah;;0;0;0;0;0;0;0;L4406214;2510;Ambriansyah
Xylopia caudata Hook.f. & Thomson;Xylopia;ID;Sumatra, Upper Riauw, Pakanbaru, Tenajan R.;0.533333;101.45;Soepadmo, E;Soepadmo, E  112 ;19;8;1960;"Johnson DM; Murray NA";nan;nan;Botany;L.4370465;caudata;0;0;Soepadmo;;0;0;0;0;0;0;0;L4370465;112;Soepadmo E
Xylopia caudata Hook.f. & Thomson;Xylopia;ID;Bangka G. Maras;-2.25;106.0;Kostermans, AJGH;"Kostermans, AJGH; Anta  1371 ";27;10;1949;"Johnson DM; Murray NA";nan;nan;Botany;L.4370464;caudata;0;0;Kostermans;;0;0;0;0;0;0;0;L4370464;1371;"Kostermans AJGH; Anta"
Monocarpia kalimantanensis Kessler;Monocarpia;ID;Indonesia, Borneo, Kalimantan Timur, Semoi raod Km 5 from Wanariset, Inhutani area.;-0.983333;116.933333;Arbainsyah;Arbainsyah AA 2029 ;26;9;1996;Mols JB;1999-08-01T00:00:00;nan;Botany;L.4405531;kalimantanensis;0;0;Arbainsyah;;0;0;0;0;0;0;0;L4405531;2029;Arbainsyah
Xylopia ngii D.M.Johnson & N.A.Murray;Xylopia;ID;East Kutei, Loa Djanan region along road Balikpapan, Samarinda;-0.5;117.15;Kostermans, AJGH;Kostermans, AJGH  10205 ;15;3;1955;"Johnson DM; Murray NA";nan;nan;Botany;L.4370496;ngii;0;0;Kostermans;;0;0;0;0;0;0;0;L4370496;10205;Kostermans AJGH
Xylopia heterotricha D.M.Johnson & N.A.Murray;Xylopia;ID;Bangka, Lobok-besar, G. Pading;-2.6;106.55;Kostermans, AJGH;"Kostermans, AJGH; Anta  1012 ";30;9;1949;"Johnson DM; Murray NA";nan;nan;Botany;L.4370500;heterotricha;0;0;Kostermans;;0;0;0;0;0;0;0;L4370500;1012;"Kostermans AJGH; Anta"
Monocarpia kalimantanensis Kessler;Monocarpia;ID;Indonesia, Borneo, Kalimantan Timur, Semoi raod Km 5 from Wanariset, Inhutani area.;-0.983333;116.933333;Arbainsyah;Arbainsyah AA 2029 ;26;9;1996;Mols JB;1999-08-01T00:00:00;nan;Botany;L.4405532;kalimantanensis;0;0;Arbainsyah;;0;0;0;0;0;0;0;L4405532;2029;Arbainsyah
Xylopia caudata Hook.f. & Thomson;Xylopia;ID;Indonesia, Borneo, Kalimantan Barat, Bukit Raya;-0.666667;112.783333;Nooteboom, HP;Nooteboom, HP  4983 ;6;11;1983;"Johnson DM; Murray NA";nan;nan;Botany;L.4370458;caudata;0;0;Nooteboom;;0;0;0;0;0;0;0;L4370458;4983;Nooteboom HP
Xylopia ngii D.M.Johnson & N.A.Murray;Xylopia;ID;nan;0.25;110.25;Jong, W de;Jong, W de  439 ;10;8;1993;"Johnson DM; Murray NA";nan;nan;Botany;L.4370495;ngii;0;0;Jong;;0;0;0;0;0;0;0;L4370495;439;Jong W de
Xylopia heterotricha D.M.Johnson & N.A.Murray;Xylopia;ID;Archipel. Ind. Billiton.;-2.833333;107.916667;Rossum, HIP van;Rossum, HIP van  46 ;;;;"Johnson DM; Murray NA";nan;nan;Botany;L.4370543;heterotricha;0;0;Rossum;;0;0;0;0;0;0;0;L4370543;46;Rossum HIP van
Marsypopetalum pallidum (Blume) Backer;Marsypopetalum;ID;Roempin, G. Moenarah.;-6.453056;106.627778;Saimoendt;Saimoendt  5 ;16;12;1926;Johnson DM;nan;nan;Botany;L.4370562;pallidum;0;0;Saimoendt;;0;0;0;0;0;0;0;L4370562;5;Saimoendt
Xylopia caudata Hook.f. & Thomson;Xylopia;ID;Riouw en Ond Lingga;-0.2;104.616667;Boschproefstation;Boschproefstation bb 17174 ;14;11;1932;"Johnson DM; Murray NA";nan;nan;Botany;L.4370463;caudata;0;0;Boschproefstation;;0;0;0;0;0;0;0;L4370463;17174;Boschproefstation
Alphonsea teysmannii Boerl.;Alphonsea;ID;Indonesia, Kebun Raya Bogor, W Java;-6.583333;106.783333;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5648 ";4;7;1986;nan;nan;nan;Botany;L  0298563;elliptica;0;0;Balgooy;;0;0;0;0;0;0;0;L0298563;5648;"Balgooy MMJ van; Setten AK van"
Xylopia heterotricha D.M.Johnson & N.A.Murray;Xylopia;ID;Bangka, Lobok Besar;-2.6;106.55;Andong;"Andong; Kostermans, AJGH bb 34048 ";14;9;1949;"Johnson DM; Murray NA";nan;nan;Botany;L.4370468;heterotricha;0;0;Andong;;0;0;0;0;0;0;0;L4370468;34048;"Andong; Kostermans AJGH"
