recorded_by;colnum_full;det_by;det_date;col_date;region;locality;barcode;country;genus;specific_epithet;scientific_name;specificEpithet;species_author;collector_id;prefix;sufix;col_day;col_month;col_year;det_day;det_month;det_year;country_id;continent;coordinate_id;ddlong;ddlat;institute;herbarium_code;colnum;orig_bc;orig_recby;orig_detby;coll_surname;huh_name;geo_col;wiki_url
Blume;;nan;<NA>;<NA>;;Java;P01954638;Indonésie;Fissistigma;latifolium;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P01954638;Blume;<NA>;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;Kessler, P;01/11/2003 - 30/11/2003;<NA>;;Java;P01753464;Indonésie;Meiogyne;virgata;0;0;0;0;<NA>;<NA>;;;;1;11;2003;0;0;0;;;0;0;nan;P01753464;Blume;Kessler, P.;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;nan;<NA>;<NA>;;Java;P02029211;Indonésie;Artabotrys;hexapetalus;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P02029211;Blume;<NA>;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;Blume;<NA>;<NA>;;Java;P02029213;Indonésie;Artabotrys;hamatus;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P02029213;Blume;Blume;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;nan;<NA>;<NA>;;Java;P00732422;Indonésie;Uvaria;humilis;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P00732422;Blume;<NA>;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;Kessler, P;05/09/1985 - 05/09/1985;01/01/1834 - 31/12/1834;;Java;P00732423;Indonésie;Mitrephora;humilis;0;0;0;0;<NA>;<NA>;1;1;1834;5;9;1985;0;0;0;;;0;0;nan;P00732423;Blume;Kessler, P.;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;Kessler, P;06/02/1985 - 06/02/1985;<NA>;;Java;P00732424;Indonésie;Mitrephora;humilis;0;0;0;0;<NA>;<NA>;;;;6;2;1985;0;0;0;;;0;0;nan;P00732424;Blume;Kessler, P.;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;nan;<NA>;<NA>;;Java;P00432319;Indonésie;Anomianthus;dulcis;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P00432319;Blume;<NA>;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;nan;<NA>;<NA>;;Java;P01753524;Indonésie;Desmos;chinensis;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P01753524;Blume;<NA>;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Bon;;Meade, C;01/07/2000 - 31/07/2000;21/08/1889 - 21/08/1889;Thanh Hóa;Ninh-Thaï. Tonkin;P00247944;Viet Nam;Uvaria;boniana;0;0;0;0;<NA>;<NA>;21;8;1889;1;7;2000;0;0;0;105.78;19.705;0;0;nan;P00247944;Bon;Meade, C.;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0
Bon;;nan;<NA>;15/10/1884 - 15/10/1884;Hà Nam;Mts de Kien-Khé. Tonkin;P00268408;Viet Nam;Polyalthia;nemoralis;0;0;0;0;<NA>;<NA>;15;10;1884;;;;0;0;0;105.8848;20.5031;0;0;nan;P00268408;Bon;<NA>;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0
Bon;;nan;<NA>;01/06/1890 - 30/06/1890;Thanh Hóa;Thanh Hoa. Tonkin;P01964141;Viet Nam;Uvaria;sp.;0;0;0;0;<NA>;<NA>;1;6;1890;;;;0;0;0;105.7745698;19.811719;0;0;nan;P01964141;Bon;<NA>;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0
Bon, H;;nan;<NA>;07/02/1886 - 07/02/1886;Hà Nam;Lat son (Quen cây vai);P01967818;Viet Nam;<NA>;indet.;0;0;0;0;<NA>;<NA>;7;2;1886;;;;0;0;0;105.877;20.5274;0;0;nan;P01967818;Bon, H.;<NA>;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0
