scientific_name;genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;region;specificEpithet;orig_recby;orig_detby;to_check;to_check_det
0;Polyalthia;sp.;0;0;Ramos, M;;<NA>;nan;<NA>;01/06/1919 - 30/06/1919;1;6;1919;nan;01/01/2004 - 31/12/2004;1;1;2004;0;Philippines;0;Philippines. Siargao Island;0;126.05;9.905;0;0;P00160919;P00160919;Ramos;Surigao del Norte;0;Ramos, M.;<NA>;;
0;Sageraea;glabra;0;0;Ramos, M;;<NA>;nan;<NA>;01/06/1919 - 30/06/1919;1;6;1919;nan;<NA>;;;;0;Philippines;0;Philippines. Siargao Island;0;126.05;9.905;0;0;P00247910;P00247910;Ramos;Surigao del Norte;0;Ramos, M.;<NA>;;
0;Artabotrys;cumingianus;0;0;Ramos, M;;<NA>;nan;<NA>;01/04/1921 - 30/04/1921;1;4;1921;nan;<NA>;;;;0;Philippines;0;Philippines. Paluan. Mindoro;0;120.4623373;13.4155816;0;0;P02029204;P02029204;Ramos;Occidental Mindoro;0;Ramos, M.;<NA>;;
0;Goniothalamus;puncticulifolius;0;0;Ramos, M;;<NA>;nan;<NA>;01/04/1921 - 30/04/1921;1;4;1921;nan;<NA>;;;;0;Philippines;0;Philippines. Paluan, Mindoro;0;120.4623373;13.4155816;0;0;P00389819;P00389819;Ramos;Occidental Mindoro;0;Ramos, M.;<NA>;;
0;Mitrephora;pictiflora;0;0;Ramos, M;;<NA>;nan;<NA>;01/12/1922 - 31/12/1922;1;12;1922;nan;<NA>;;;;0;Philippines;0;Philippines. Cabalian. Leyte;0;125.1743787;10.2623755;0;0;P01967902;P01967902;Ramos;Southern Leyte;0;Ramos, M.;<NA>;;
0;Mitrephora;reflexa;0;0;Ramos, M;;<NA>;nan;<NA>;01/12/1922 - 31/12/1922;1;12;1922;nan;<NA>;;;;0;Philippines;0;Philippines. Cabalian, Leyte;0;125.1752861;10.2653512;0;0;P01967892;P01967892;Ramos;Leyte;0;Ramos, M.;<NA>;;
0;Uvaria;micrantha;0;0;Ramos, M;;<NA>;nan;<NA>;01/09/1922 - 30/09/1922;1;9;1922;Meade, C;01/01/2000 - 31/12/2000;1;1;2000;0;Philippines;0;Philippines. Busuanga Island;0;120.03;12.145;0;0;P00260008;P00260008;Ramos;Palawan;0;Ramos, M.;Meade, C.;;
0;Uvaria;sorzogonensis;0;0;Ramos, M;;<NA>;nan;<NA>;01/09/1922 - 30/09/1922;1;9;1922;nan;<NA>;;;;0;Philippines;0;Philippines. Busuanga Island;0;120.0280968572961;12.1451487;0;0;P00248450;P00248450;Ramos;Palawan;0;Ramos, M.;<NA>;;
0;Friesodielsia;mindorensis;0;0;Ramos, M;;<NA>;nan;<NA>;01/06/1922 - 30/06/1922;1;6;1922;nan;<NA>;;;;0;Philippines;0;Philippines. Pinamalayan. Mindoro.;0;121.4801563;13.0386691;0;0;P00732383;P00732383;Ramos;Oriental Mindoro;0;Ramos, M.;<NA>;;
0;Goniothalamus;amuyon;0;0;Ramos, M;;<NA>;nan;<NA>;01/06/1922 - 30/06/1922;1;6;1922;nan;<NA>;;;;0;Philippines;0;Philippines. Pinamalayan, Mindoro;0;121.4801563;13.0386691;0;0;P01988178;P01988178;Ramos;Oriental Mindoro;0;Ramos, M.;<NA>;;
