recorded_by;colnum_full;det_by;det_date;col_date;region;locality;barcode;country;genus;specific_epithet;scientific_name;specificEpithet;species_author;collector_id;prefix;sufix;col_day;col_month;col_year;det_day;det_month;det_year;country_id;continent;coordinate_id;ddlong;ddlat;institute;herbarium_code;colnum;orig_bc;orig_recby;orig_detby;coll_surname;huh_name;geo_col;wiki_url;genus_old;specificEpithet_old
Harmand;;nan;<NA>;01/01/1875 - 31/12/1877;;Rive gauche du Mé-Không (Laos central). M. de LaKhong;P02007322;Laos, République démocratique populaire;Desmos;cochinchinensis;0;0;0;0;<NA>;<NA>;1;1;1875;;;;0;0;0;106.40700000000001;10.253499999999999;0;0;nan;P02007322;Harmand;<NA>;Harmand;Harmand;<NA>;<NA>;Desmos;0
Harmand;;Saunders, RMK;01/06/2003 - 30/06/2003;01/01/1875 - 31/12/1877;;Indo-Chine. Delta du Mè-Không.;P00253434;Viet Nam;Goniothalamus;tamirensis;0;0;0;0;<NA>;<NA>;1;1;1875;1;6;2003;0;0;0;106.40700000000001;10.253499999999999;0;0;nan;P00253434;Harmand;Saunders, R.M.K.;Harmand;Harmand;<NA>;<NA>;Goniothalamus;0
Harmand;;nan;<NA>;01/01/1875 - 31/12/1877;;<NA>;P00432340;Viet Nam;Goniothalamus;tamirensis;0;0;0;0;<NA>;<NA>;1;1;1875;;;;0;0;0;106.40700000000001;10.253499999999999;0;0;nan;P00432340;Harmand;<NA>;Harmand;Harmand;<NA>;<NA>;Goniothalamus;0
Harmand;;nan;<NA>;01/01/1875 - 31/12/1877;;Indo-Chine. Delta du Mé-Không.;P00432341;Viet Nam;Goniothalamus;tamirensis;0;0;0;0;<NA>;<NA>;1;1;1875;;;;0;0;0;106.40700000000001;10.253499999999999;0;0;nan;P00432341;Harmand;<NA>;Harmand;Harmand;<NA>;<NA>;Goniothalamus;0
Harmand;;nan;<NA>;01/01/1875 - 31/12/1877;;Rive gauche du Mé-Không (Laos central).;P00248337;Laos, République démocratique populaire;Uvaria;rufa;0;0;0;0;<NA>;<NA>;1;1;1875;;;;0;0;0;106.40700000000001;10.253499999999999;0;0;nan;P00248337;Harmand;<NA>;Harmand;Harmand;<NA>;<NA>;Uvaria;0
Harmand;;nan;<NA>;01/01/1875 - 31/12/1877;;Indo-Chine. Empire d'Annam Hué. Laos;P00248338;Laos, République démocratique populaire;Uvaria;rufa;0;0;0;0;<NA>;<NA>;1;1;1875;;;;0;0;0;106.40700000000001;10.253499999999999;0;0;nan;P00248338;Harmand;<NA>;Harmand;Harmand;<NA>;<NA>;Uvaria;0
Harmand;;nan;<NA>;01/01/1877 - 31/12/1877;Champasak;ad Bassac prope flumen Mekong;P00411023;Laos, République démocratique populaire;Artabotrys;harmandii;0;0;0;0;<NA>;<NA>;1;1;1877;;;;0;0;0;105.6892951;12.161713375;0;0;nan;P00411023;Harmand;<NA>;Harmand;Harmand;<NA>;<NA>;Artabotrys;0
Harmand;;nan;<NA>;01/01/1877 - 31/12/1877;Champasak;ad Bassac prope flumen Mekong;P00411024;Laos, République démocratique populaire;Artabotrys;harmandii;0;0;0;0;<NA>;<NA>;1;1;1877;;;;0;0;0;105.6892951;12.161713375;0;0;nan;P00411024;Harmand;<NA>;Harmand;Harmand;<NA>;<NA>;Artabotrys;0
Harmand;;nan;13/07/2005 - 13/07/2005;01/04/1877 - 30/04/1877;;Rive gauche du Mékong (Laos centtral). Indo-Chine;P00160909;Laos, République démocratique populaire;Miliusa;velutina;0;0;0;0;<NA>;<NA>;1;4;1877;13;7;2005;0;0;0;105.6892951;12.161713375;0;0;nan;P00160909;Harmand;van den Brink, E.C.;Harmand;Harmand;<NA>;<NA>;Miliusa;0
Harmand;;Pierre, L;<NA>;01/04/1877 - 30/04/1877;Attapu;Plateau d'Attopeu, Laos central.;P00160902;Laos, République démocratique populaire;Miliusa;velutina;0;0;0;0;<NA>;<NA>;1;4;1877;;;;0;0;0;105.6892951;12.161713375;0;0;nan;P00160902;Harmand;Pierre, L.;Harmand;Harmand;<NA>;<NA>;Miliusa;0
Harmand;;nan;<NA>;01/04/1877 - 30/04/1877;;Indo-Chine. Rive gauche du Mé-Khong (Laos central).;P01967630;Laos, République démocratique populaire;Miliusa;velutina;0;0;0;0;<NA>;<NA>;1;4;1877;;;;0;0;0;105.6892951;12.161713375;0;0;nan;P01967630;Harmand;<NA>;Harmand;Harmand;<NA>;<NA>;Miliusa;0
Harmand;;nan;<NA>;01/04/1877 - 30/04/1877;;Rive gauche du Mékong (Laos central);P01967631;Laos, République démocratique populaire;Miliusa;velutina;0;0;0;0;<NA>;<NA>;1;4;1877;;;;0;0;0;105.6892951;12.161713375;0;0;nan;P01967631;Harmand;<NA>;Harmand;Harmand;<NA>;<NA>;Miliusa;0
Jullien;;nan;<NA>;01/01/1874 - 31/12/1874;Kratie;rapides de Tio-Kompih, au-dessus de Samboc, sur le Mékong, Cambodge.;P00411029;Cambodge;Artabotrys;harmandii;0;0;0;0;<NA>;<NA>;1;1;1874;;;;0;0;0;106.02299999999998;12.948;0;0;nan;P00411029;Jullien;<NA>;Jullien;Jullien;Cambodia;0;Artabotrys;0
Jullien;;nan;<NA>;01/01/1874 - 31/12/1874;Kratie;rapides de Tio-Kompih, au-dessus de Samboc, sur le Mékong.;P00411030;Cambodge;Artabotrys;harmandii;0;0;0;0;<NA>;<NA>;1;1;1874;;;;0;0;0;106.02299999999998;12.948;0;0;nan;P00411030;Jullien;<NA>;Jullien;Jullien;Cambodia;0;Artabotrys;0
Jullien;;nan;<NA>;01/01/1874 - 31/12/1874;Kratie;rapides de Tio-Kompih, sur le Mékong, au-dessus de Samboc.;P00411031;Cambodge;Artabotrys;harmandii;0;0;0;0;<NA>;<NA>;1;1;1874;;;;0;0;0;106.02299999999998;12.948;0;0;nan;P00411031;Jullien;<NA>;Jullien;Jullien;Cambodia;0;Artabotrys;0
King;;Kessler, P;03/09/1985 - 03/09/1985;17/06/1893 - 17/06/1893;Andaman and Nicobar Islands;Manglutan. Hill jungle. S. Andaman.;P00268480;Inde;Mitrephora;prainii;0;0;0;0;<NA>;<NA>;17;6;1893;3;9;1985;0;0;0;92.65;11.58335;0;0;nan;P00268480;King;Kessler, P.;King;King;<NA>;<NA>;Mitrephora;0
King;;King;<NA>;17/06/1893 - 17/06/1893;Andaman and Nicobar Islands;Manglutan. S. Andaman.;P00268481;Inde;Mitrephora;prainii;0;0;0;0;<NA>;<NA>;17;6;1893;;;;0;0;0;92.65;11.58335;0;0;nan;P00268481;King;King;King;King;<NA>;<NA>;Mitrephora;0
King;;nan;01/01/1985 - 31/12/1985;10/11/1894 - 10/11/1894;Andaman and Nicobar Islands;Port mouat ravine. Hill jungle. S. Andaman.;P01960572;Inde;Anaxagorea;luzonensis;0;0;0;0;<NA>;<NA>;10;11;1894;1;1;1985;0;0;0;92.624;11.625;0;0;nan;P01960572;King;Maas, P.J.M. & Westra, L.Y.T.;King;King;<NA>;<NA>;Anaxagorea;0
King;;nan;01/01/1982 - 31/12/1982;10/11/1894 - 10/11/1894;Andaman and Nicobar Islands;Port Mouat. S. Andaman.;P01960591;Inde;Anaxagorea;luzonensis;0;0;0;0;<NA>;<NA>;10;11;1894;1;1;1982;0;0;0;92.624;11.625;0;0;nan;P01960591;King;van Benthem, F.D.J.;King;King;<NA>;<NA>;Anaxagorea;0
Pierre;;Kessler, P;03/09/1985 - 03/09/1985;01/01/1871 - 31/12/1871;Bà Rịa - Vũng Tàu;in montibus Dinh ad Baria gallica. Austro-Cochinchinse;P01956312;Viet Nam;Alphonsea;philastreana;0;0;0;0;<NA>;<NA>;1;1;1871;3;9;1985;0;0;0;107.133;10.533;0;0;nan;P01956312;Pierre;Kessler, P.;Pierre;Pierre;<NA>;<NA>;Alphonsea;0
