recorded_by;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41
;Cribari, R.S.;Cribari, R.S.;Cribari, R.S.;Cribari, R.S.;Cribari, R.S.;Cribari, R.S.;Cribari, R.S.;Cribari, R.S.;Cribari, R.S.;Cribari, R.S.;Cribari, R.S.;Cribari, RS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim;André M. Amorim
;Fiaschi, P;Fiaschi, P;Fiaschi, P;Fiaschi, P;Fiaschi, P;Fiaschi, P;Fiaschi, P;Fiaschi, P;Fiaschi, P;Fiaschi, P;Fiaschi, P;Fiaschi, P;Fiaschi, P;Fiaschi, P;Fiaschi, P;Fiaschi, P;Fiaschi, P;Fiaschi, P;Fiaschi, P;Fiaschi, P;;;;;;;;;;;;;;;;;;;;;
José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore;José Floriano Barêa Pastore
;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;Pirani, JR ;;;;;;;
;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;J.R. Pirani;Pirani, JR ;;;;;;;
;J.A. Kallunk;J.A. Kallunk;J.A. Kallunk;J.A. Kallunk;J.A. Kallunk;J.A. Kallunk;J.A. Kallunk;J.A. Kallunk;J.A. Kallunk;J.A. Kallunk;J.A. Kallunk;J.A. Kallunk;J.A. Kallunk;J.A. Kallunk;J.A. Kallunk;J.A. Kallunk;J.A. Kallunk;J.A. Kallunk;J.A. Kallunk;J.A. Kallunk;J.A. Kallunk;J.A. Kallunk;J.A. Kallunk;J.A. Kallunk;J.A. Kallunk;J.A. Kallunk;J.A. Kallunk;J.A. Kallunk;J.A. Kallunk;J.A. Kallunk;J.A. Kallunk;J.A. Kallunk;J.A. Kallunk;Kallunk, JA ;;;;;;;
;Mori, S.A.;Mori, S.A.;Mori, S.A.;Mori, S.A.;Mori, S.A.;Mori, S.A.;Mori, S.A.;Mori, S.A.;Mori, S.A.;Mori, S.A.;Mori, S.A.;Mori, SA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Pirani, J.R.;Pirani, J.R.;Pirani, J.R.;Pirani, J.R.;Pirani, J.R.;Pirani, J.R.;Pirani, J.R.;Pirani, J.R.;Pirani, J.R.;Pirani, J.R.;Pirani, J.R.;Pirani, JR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;J. Kallunki;J. Kallunki;J. Kallunki;J. Kallunki;J. Kallunki;J. Kallunki;J. Kallunki;J. Kallunki;J. Kallunki;J. Kallunki;J. Kallunki;J. Kallunki;J. Kallunki;J. Kallunki;J. Kallunki;J. Kallunki;J. Kallunki;J. Kallunki;J. Kallunki;J. Kallunki;J. Kallunki;J. Kallunki;J. Kallunki;J. Kallunki;J. Kallunki;J. Kallunki;J. Kallunki;J. Kallunki;J. Kallunki;J. Kallunki;J. Kallunki;Kallunki, J ;;;;;;;;;
;Jardim, J.G.;Jardim, J.G.;Jardim, J.G.;Jardim, J.G.;Jardim, J.G.;Jardim, J.G.;Jardim, J.G.;Jardim, J.G.;Jardim, J.G.;Jardim, J.G.;Jardim, J.G.;Jardim, JG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E;;;;;;;;;;;;;;;;;;
;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E.;Melo, E;;;;;;;;;;;;;;;;;;
;Costa, J.;Costa, J.;Costa, J.;Costa, J.;Costa, J.;Costa, J.;Costa, J.;Costa, J.;Costa, J.;Costa, J.;Costa, J.;Costa, J.;Costa, J.;Costa, J.;Costa, J.;Costa, J.;Costa, J.;Costa, J.;Costa, J.;Costa, J.;Costa, J.;Costa, J.;Costa, J;;;;;;;;;;;;;;;;;;
M.de;Carvalho, A.M.de;Carvalho, A.M.de;Carvalho, A.M.de;Carvalho, A.M.de;Carvalho, A.M.de;Carvalho, A.M.de;Carvalho, A.M.de;Carvalho, A.M.de;Carvalho, A.M.de;Carvalho, A.M.de;Carvalho, A.M.de;Carvalho, A.M.de;Carvalho, A.M.de;Carvalho, A.M.de;Carvalho, A.M.de;Carvalho, A.M.de;Carvalho, A.M.de;Carvalho, A.M.de;Carvalho, A.M.de;Carvalho, A.M.de;Carvalho, A.M.de;Carvalho, A.M.de;Carvalho, AM.de;M.de;M.de;M.de;M.de;M.de;M.de;M.de;M.de;M.de;M.de;M.de;M.de;M.de;M.de;M.de;M.de;M.de;M.de
