scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;coll_surname;huh_name;geo_col;wiki_url;genus_old;specific_epithet_old
Xylopia malayana Hook.f. & Thomson;Xylopia;ID;Sumatra, afd. Simaloer;2.58;96.08;Achmad;Achmad  871 ;23;1;1919;nan;<NA>;<NA>;Botany;L.1775343;0;0;0;Achmad;;0;;;;0;0;0;L1775343;871;malayana;Achmad;Bakhuizen van den Brink Sr RC;Achmad;<NA>;<NA>;<NA>;Xylopia;malayana
Xylopia dicarpa Hook.f. & Thomson;Xylopia;ID;Eil. Simaloer bij Sumatra.;2.58;96.08;Achmad;Achmad  884 ;27;1;1919;Johnson, DM;2014-03-01T00:00:00;<NA>;Botany;L.1776011;0;0;0;Achmad;;0;1;3;2014;0;0;0;L1776011;884;malayana;Achmad;Johnson DM;Achmad;<NA>;<NA>;<NA>;Xylopia;malayana
Xylopia malayana Hook.f. & Thomson;Xylopia;ID;<NA>;2.58;96.08;Achmad;Achmad  884 ;27;1;1919;nan;<NA>;<NA>;Botany;L.4301763;0;0;0;Achmad;;0;;;;0;0;0;L4301763;884;malayana;Achmad;<NA>;Achmad;<NA>;<NA>;<NA>;Xylopia;malayana
Xylopia malayana Hook.f. & Thomson;Xylopia;ID;<NA>;2.58;96.08;Achmad;Achmad  884 ;27;1;1919;nan;<NA>;<NA>;Botany;U.1074774;0;0;0;Achmad;;0;;;;0;0;0;U1074774;884;malayana;Achmad;<NA>;Achmad;<NA>;<NA>;<NA>;Xylopia;malayana
Xylopia malayana Hook.f. & Thomson;Xylopia;ID;<NA>;2.58;96.08;Achmad;Achmad  884 ;27;1;1919;nan;<NA>;<NA>;Botany;L.4301766;0;0;0;Achmad;;0;;;;0;0;0;L4301766;884;malayana;Achmad;<NA>;Achmad;<NA>;<NA>;<NA>;Xylopia;malayana
Xylopia malayana Hook.f. & Thomson;Xylopia;ID;<NA>;2.58;96.08;Achmad;Achmad  884 ;27;1;1919;nan;<NA>;<NA>;Botany;L.4301765;0;0;0;Achmad;;0;;;;0;0;0;L4301765;884;malayana;Achmad;<NA>;Achmad;<NA>;<NA>;<NA>;Xylopia;malayana
Xylopia malayana Hook.f. & Thomson;Xylopia;ID;<NA>;2.58;96.08;Achmad;Achmad  884 ;27;1;1919;nan;<NA>;<NA>;Botany;L.4301764;0;0;0;Achmad;;0;;;;0;0;0;L4301764;884;malayana;Achmad;<NA>;Achmad;<NA>;<NA>;<NA>;Xylopia;malayana
Maasia glauca (Hassk.) Mols, Kessler & Rogstad;Maasia;ID;Eil. simaloer, Sumatra;2.58;96.08;Achmad;Achmad  983 ;14;3;1919;nan;<NA>;<NA>;Botany;L.1761310;0;0;0;Achmad;;0;;;;0;0;0;L1761310;983;glauca;Achmad;<NA>;Achmad;<NA>;<NA>;<NA>;Maasia;glauca
Maasia glauca (Hassk.) Mols, Kessler & Rogstad;Maasia;ID;Eil. simaloer, Sumatra;2.58;96.08;Achmad;Achmad  983 ;14;3;1919;nan;<NA>;<NA>;Botany;L.1761311;0;0;0;Achmad;;0;;;;0;0;0;L1761311;983;glauca;Achmad;<NA>;Achmad;<NA>;<NA>;<NA>;Maasia;glauca
Goniothalamus longistaminus R.M.K.Saunders;Goniothalamus;ID;Sibual-bueli via Bulumario, Sipirok,  S. Sumatra.;1.616667;99.266667;Afriastini, JJ;Afriastini, JJ  2502 ;24;5;1993;nan;<NA>;<NA>;Botany;L  0180061;0;0;0;Afriastini;;0;;;;0;0;0;L0180061;2502;longistaminus;Afriastini JJ;<NA>;Afriastini;Afriastini, J. J.;Indonesia;0;Goniothalamus;longistaminus
