scientificName;genus;countryID;locality;ddlat;ddlong;recordedBy;colNum_full;colDay;colMonth;colYear;detBy;detDate;institute;herbarium_code;orig_BC;specificEpithet;speciesAuthor;collectorID;prefix;sufix;colDate;detByDate;detDay;detMonth;detYear;country;continent;coordinateID;barcode;colNum;ORIG_recBy;to_check
Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;PH;Province of Rizal, Luzon.;;;Ahern's collector;Forestry Bureau 3343;;;;nan;;US;US;US 708430;ophthalmicus;0;0;Forestry;;0;0;0;0;0;0;0;0;US708430;3343;Ahern's collector;Ahern's collector
Uvaria sorzogonensis C.Presl;Uvaria;PH;Lamao River, Mt. Mariveles, Province of Batan, Luzon.;;;Ahern's collector;Forestry Bureau 1423;;;;nan;;US;US;US 852139;littoralis;0;0;Forestry;;0;0;0;0;0;0;0;0;US852139;1423;Ahern's collector;Ahern's collector
Polyalthia similis Merr.;Polyalthia;PH;Cabadbaran (Mt. Urbaneta), Province of Agusan. Island of Mindanao.;;;A. D. E. Elmer;13621;;;;nan;;US;US;US 1172297;obliqua;0;0;;;0;0;0;0;0;0;0;0;US1172297;13621;A. D. E. Elmer;A. D. E. Elmer
Goniothalamus magnificus Elmer;Goniothalamus;PH;Lucban. Province Tayabas. Island Luzon.;;;A. D. E. Elmer;9387;;;;nan;;US;US;US 705275;philippinensis;0;0;;;0;0;0;0;0;0;0;0;US705275;9387;A. D. E. Elmer;A. D. E. Elmer
Polyalthia lanceolata S.Vidal;Haplostichanthus;PH;San Matao, Province of Rizal, Luzon.;;;Ahern's collector;Forestry Bureau 1103;;;;nan;;US;US;US 851231;lanceolata;0;0;Forestry;;0;0;0;0;0;0;0;0;US851231;1103;Ahern's collector;Ahern's collector
Mitrephora lanotan (Blanco) Merr.;Mitrephora;PH;Lamao River, Mt. Mariveles, Province of Batan, Luzon.;;;Ahern's collector;Forestry Bureau 1447;;;;nan;;US;US;US 625921;lanotan;0;0;Forestry;;0;0;0;0;0;0;0;0;US625921;1447;Ahern's collector;Ahern's collector
Friesodielsia lagunensis (Elmer) Steenis;Friesodielsia;PH;Irosin (Mt. Bulusan), Province of Sorsogon. Island of Luzon.;;;A. D. E. Elmer;15298;;;;nan;;US;US;US 1236347;lagunensis;0;0;;;0;0;0;0;0;0;0;0;US1236347;15298;A. D. E. Elmer;A. D. E. Elmer
Polyalthia rumphii (Blume ex Hensch.) Merr.;Hubera;PH;Cabadbaran (Mt. Urbaneta), Province of Agusan. Island of Mindanao.;;;A. D. E. Elmer;13654;;;;nan;;US;US;US 3416544;rumphii;0;0;;;0;0;0;0;0;0;0;0;US3416544;13654;A. D. E. Elmer;A. D. E. Elmer
Orophea glabra Merr.;Orophea;PH;Samar.;;;-. Sherfesee, -. Cenabre;Forestry Bureau 21072;;;;nan;;US;US;US 568672;glabra;0;0;Forestry;;0;0;0;0;0;0;0;0;US568672;21072;-. Sherfesee, -. Cenabre & Cortes, --;-. Sherfesee, -. Cenabre
Artabotrys suaveolens (Blume) Blume;Artabotrys;PH;Lucban, Province Tayabas, Island Luzon.;;;A. D. E. Elmer;7922;;;;nan;;US;US;US 629844;suaveolens;0;0;;;0;0;0;0;0;0;0;0;US629844;7922;A. D. E. Elmer;A. D. E. Elmer
