scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;coll_surname;to_check;to_check_det
Popowia pisocarpa (Blume) Endl.;Popowia;ID;Ulu Gadut valley, ca 15 km from Padang;-0.909444;100.513333;nan;;21;8;1981;nan;nan;HYO;C;C1-258245;0;0;0;nan;nan;0;;;;0;0;0;C1-258245;nan;pisocarpa;;;;;recby_problem
Orophea Blume;Orophea;ID;nr. Kpg. Longsat, ca 20km W from Sg. Dareh;-0.966667;101.333333;nan;;20;8;1981;nan;nan;HYO;C;C1-258243;0;0;0;nan;nan;0;;;;0;0;0;C1-258243;nan;;;;;;recby_problem
Miliusa butonensis Chaowasku & Kessler;Miliusa;ID;Southeast of Wulawesi: north Buton Is. Jismil camp inland from Labuan Tobelo;-4.433333;122.983333;nan;;;;;nan;2015-01-01T00:00:00;A;A;barcode-00589957;0;0;0;nan;nan;0;1;1;2015;0;0;0;A00589957;nan;butonensis;;;;;recby_problem
Cyathocalyx tsukayae H.Okada;Cyathocalyx;ID;Kab. Kapuas Hulu, Putssibau, Betung Kurihun National Park;1.213056;113.043889;nan;;24;12;2011;nan;nan;HYO;C;C1-248641;0;0;0;nan;nan;0;;;;0;0;0;C1-248641;nan;tsukayae;;;;;recby_problem
Unona uncinata (Lam.) Dunal;Artabotrys;ID;Java - Java;-7.50278;111.26306;Anon. (Coll. HERBIER DE CANDOLLE);;;;;nan;nan;G;Geneva Herbarium – De Candolle's Prodromus (G-DC);G-DC-164168/1;0;0;0;nan;nan;0;;;;0;0;0;G-DC-164168/1;nan;hexapetalus;Anon. (Coll. HERBIER DE CANDOLLE);CAT.HERB.PRODR. (2008);;Anon. (Coll. HERBIER DE CANDOLLE);recby_problem
Unona odorata (Lam.) Dunal;Cananga;ID;Java - Java;-7.50278;111.26306;Anon. (Coll. HERBIER DE CANDOLLE);;;;;nan;nan;G;Geneva Herbarium – De Candolle's Prodromus (G-DC);G-DC-164109/1;0;0;0;nan;nan;0;;;;0;0;0;G-DC-164109/1;nan;odorata;Anon. (Coll. HERBIER DE CANDOLLE);CAT.HERB.PRODR. (2008);;Anon. (Coll. HERBIER DE CANDOLLE);recby_problem
Guatteria rufa Dunal;Uvaria;ID;Java - Java;-7.50278;111.26306;Anon. (Coll. HERBIER DE CANDOLLE);;;;;nan;nan;G;Geneva Herbarium – De Candolle's Prodromus (G-DC);G-DC-141373/1;0;0;0;nan;nan;0;;;;0;0;0;G-DC-141373/1;nan;rufa;Anon. (Coll. HERBIER DE CANDOLLE);CAT.HERB.PRODR. (2007);;Anon. (Coll. HERBIER DE CANDOLLE);recby_problem
Annona squamosa L.;Annona;ID;Java - Java;-7.50278;111.26306;Anon. (Coll. HERBIER DE CANDOLLE);;;;;nan;nan;G;Geneva Herbarium – De Candolle's Prodromus (G-DC);G-DC-164044/1;0;0;0;nan;nan;0;;;;0;0;0;G-DC-164044/1;nan;squamosa;Anon. (Coll. HERBIER DE CANDOLLE);CAT.HERB.PRODR. (2008);;Anon. (Coll. HERBIER DE CANDOLLE);recby_problem
Uvaria dulcis Dunal;Uvaria;ID;Java - Java;-7.50278;111.26306;Lahaie, F de;;;;;Meade, CV;nan;G;Geneva Herbarium – General Collection (G);G-G-288807/1;0;0;0;nan;nan;0;;;;0;0;0;G-G-288807/1;nan;dulcis;Lahaie, F. de;Meade, C. (2000);;detby_problem;-2000
Uvaria dulcis Dunal;Uvaria;ID;Java - Java;-7.50278;111.26306;Lahaie, F de;;;;;Meade, CV;nan;G;Geneva Herbarium – General Collection (G);G-G-288807/3;0;0;0;nan;nan;0;;;;0;0;0;G-G-288807/3;nan;dulcis;Lahaie, F. de;Meade, C. (2000);;detby_problem;-2000
Unona discolor Vahl;Desmos;ID;Java - Java;-7.50278;111.26306;Lahaie, F de ;;;;;nan;nan;G;Geneva Herbarium – De Candolle's Prodromus (G-DC);G-DC-164112/1;0;0;0;nan;nan;0;;;;0;0;0;G-DC-164112/1;nan;chinensis;Lahaie, F. de (Coll. HERBIER DE CANDOLLE);CAT.HERB.PRODR. (2008);; (Coll. HERBIER DE CANDOLLE);recby_problem
Fissistigma longipes Merr.;Fissistigma;ID;Sumatra - Vicinity of Haboko, Asahan;0.0;102.0;Rahmat;;;;;nan;nan;G;Geneva Herbarium – General Collection (G);G-G-197131/1;0;0;0;nan;nan;0;;;;0;0;0;G-G-197131/1;nan;longipes;Si Boeea, R. (Coll. Delessert);;;, R. (Coll. Delessert);recby_problem
