recorded_by;colnum_full;det_by;det_date;col_date;region;locality;barcode;country;genus;specific_epithet;scientific_name;specificEpithet;species_author;collector_id;prefix;sufix;col_day;col_month;col_year;det_day;det_month;det_year;country_id;continent;coordinate_id;ddlong;ddlat;institute;herbarium_code;colnum;orig_bc;orig_recby;orig_detby;coll_surname;huh_name;geo_col;wiki_url;genus_old;specific_epithet_old
Bon, H;2566;nan;<NA>;28/04/1884 - 28/04/1884;Hà Nam;(H.N.) Monts Thinh-Chau (Tin-cot)  Tonkin;P00248405;Viet Nam;Uvaria;tonkinensis;0;0;0;0;;;28;4;1884;;;;0;0;0;105.86666666666667;20.504333333333335;0;0;2566;P00248405;Bon, H.;<NA>;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0;Uvaria;tonkinensis
Bon;2683;Wun, NK;01/08/2010 - 31/08/2010;11/06/1884 - 11/06/1884;Hà Nam;Tonkin, monts Lat-son, à Quen-lé.;P00234130;Viet Nam;Desmos;chinensis;0;0;0;0;;;11;6;1884;1;8;2010;0;0;0;105.87966666666667;20.527155555555556;0;0;2683;P00234130;Bon;Ng Kwok Wun;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0;Desmos;chinensis
Bon, H;2683;nan;<NA>;11/06/1884 - 11/06/1884;Hà Nam;(H.N.) In montib. Lat-son, à Quen-lé, prov. Ha-noï, Tonkin;P01753338;Viet Nam;Desmos;chinensis;0;0;0;0;;;11;6;1884;;;;0;0;0;105.87966666666667;20.527155555555556;0;0;2683;P01753338;Bon, H.;<NA>;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0;Desmos;chinensis
Bon, H;2683;nan;<NA>;11/06/1884 - 11/06/1884;Hà Nam;Tonkin. (H.N.) In montib. Lat son, loco dicto quènLe;P01753339;Viet Nam;Desmos;chinensis;0;0;0;0;;;11;6;1884;;;;0;0;0;105.87966666666667;20.527155555555556;0;0;2683;P01753339;Bon, H.;<NA>;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0;Desmos;chinensis
Bon, H;2691;Kessler, P;08/03/1989 - 08/03/1989;17/06/1884 - 17/06/1884;Hà Nam;Tonkin. In montib. Hanh Lâm;P00432433;Viet Nam;Orophea;tonkinensis;0;0;0;0;;;17;6;1884;8;3;1989;0;0;0;105.8440502260165;20.52396999763153;0;0;2691;P00432433;Bon, H.;Kessler, P.;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0;Orophea;tonkinensis
Bon;2691;Kessler, P;06/09/1985 - 06/09/1985;17/06/1884 - 17/06/1884;Hà Nam;Tonkin : In montibus Hanh Lâm, Province Ha Nam;P00432431;Viet Nam;Orophea;tonkinensis;0;0;0;0;;;17;6;1884;6;9;1985;0;0;0;105.8440502260165;20.52396999763153;0;0;2691;P00432431;Bon;Kessler, P.;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0;Orophea;tonkinensis
Bon, H;2691;nan;<NA>;17/06/1884 - 17/06/1884;Hà Nam;In montibus Hanh Lâm. Tonkin;P00432432;Viet Nam;Orophea;tonkinensis;0;0;0;0;;;17;6;1884;;;;0;0;0;105.8440502260165;20.52396999763153;0;0;2691;P00432432;Bon, H.;<NA>;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0;Orophea;tonkinensis
Bon, H;2734;Kessler, P;19/10/1987 - 19/10/1987;23/09/1884 - 23/09/1884;Ninh Bình;(H.N.) But Son, in rupib. montis Voi. Rochers du mont Voi, près But-son, n.e. de Ninh-Binh.;P00411015;Viet Nam;Alphonsea;squamosa;0;0;0;0;;;23;9;1884;19;10;1987;0;0;0;105.984;20.251;0;0;2734;P00411015;Bon, H.;Kessler, P.;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0;Alphonsea;squamosa
Bon, H;2734;nan;<NA>;23/09/1884 - 23/09/1884;Ninh Bình;(H.N.) But son, in rupib. montis Voi. Rochers du mont Voi, près But-son, au n.-e. de Ninh Binh. Tonkin;P00411016;Viet Nam;Alphonsea;squamosa;0;0;0;0;;;23;9;1884;;;;0;0;0;105.984;20.251;0;0;2734;P00411016;Bon, H.;<NA>;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0;Alphonsea;boniana
Bon, H;3184;nan;<NA>;09/06/1886 - 09/06/1886;Hà Nam;Tunquini occidentalis. (HN) Ninh Thai, in nem. collis Muou Lâng;P01967817;Viet Nam;<NA>;indet.;0;0;0;0;;;9;6;1886;;;;0;0;0;105.949;20.462;0;0;3184;P01967817;Bon, H.;<NA>;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0;<NA>;indet.
Bon, H;3184;nan;<NA>;09/06/1886 - 09/06/1886;Hà Nam;Tonkin méridional. (HN) Ninh Thai, in nem. collis Muou Lâng;P01765056;Viet Nam;<NA>;indet.;0;0;0;0;;;9;6;1886;;;;0;0;0;105.949;20.462;0;0;3184;P01765056;Bon, H.;<NA>;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0;<NA>;indet.
Bon, H;3328;Kessler, P;01/11/2003 - 30/11/2003;10/02/1887 - 10/02/1887;Hà Nam;(HN) Lat Son, in faucibus Quèn Ca;P01982087;Viet Nam;Goniothalamus;sp.;0;0;0;0;;;10;2;1887;1;11;2003;0;0;0;105.78166666666668;20.412466666666667;0;0;3328;P01982087;Bon, H.;Kessler, P.;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0;Goniothalamus;sp.
Bon;3328;nan;<NA>;10/02/1887 - 10/02/1887;Hà Nam;(HN.) Lah Dôn, in faucibus Quen cà;P01967819;Viet Nam;Goniothalamus;sp.;0;0;0;0;;;10;2;1887;;;;0;0;0;105.78166666666668;20.412466666666667;0;0;3328;P01967819;Bon;<NA>;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0;<NA>;indet.
