scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;to_check;to_check_det
Meiogyne virgata (Blume) Miq.;Meiogyne;PH;Mt. Concord.;11.695278;125.241389;Gutiérrez, HG;"Gutiérrez, HG; et al. PNH 117074 ";1;5;1969;;<NA>;<NA>;Botany;L.1765894;0;0;0;Guti;;0;;;;0;0;0;L1765894;117074;virgata;"Gutiérrez, HG; et al.";Heusden ECH van;Gutiérrez, HG;recby_problem
Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;PH;Mt. Concord.;11.316667;125.05;Gutiérrez, HG;"Gutiérrez, HG; et al. PNH 116985 ";10;5;1969;;<NA>;<NA>;Botany;L.1758744;0;0;0;Guti;;0;;;;0;0;0;L1758744;116985;ophthalmicus;"Gutiérrez, HG; et al.";Mols JB;Gutiérrez, HG;recby_problem
Orophea Blume;Orophea;PH;Mt. Concord.;11.695278;125.241389;Gutiérrez, HG;"Gutiérrez, HG; et al. PNH 117140 ";1;5;1969;;1985-07-01T00:00:00;<NA>;Botany;L.1758906;0;0;0;Guti;;0;1;7;1985;0;0;0;L1758906;117140;;"Gutiérrez, HG; et al.";Kessler PJA;Gutiérrez, HG;recby_problem
Neo-Uvaria acuminatissima (Miq.) Airy Shaw;Neo-Uvaria;PH;Sierra Madre Mountains, San Mariano. Isabela, Luzon;16.85;122.166667;Gutiérrez, HG;Gutiérrez, HG PNH 78103 ;27;4;1961;;<NA>;<NA>;Botany;L.1757919;0;0;0;Guti;;0;;;;0;0;0;L1757919;78103;acuminatissima;Gutiérrez, HG;<NA>;Gutiérrez, HG;recby_problem
Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;PH;"Philippines, Luzon, Province Isabela, San Mariano, Sierra Madre Mountains, c. 17.00 N; 122.00 E.";17.0;122.0;Gutiérrez, HG;Gutiérrez, HG PNH 78169 a;18;5;1961;;<NA>;<NA>;Botany;L.1758757;0;0;0;Guti;a;0;;;;0;0;0;L1758757;78169;ophthalmicus;Gutiérrez, HG;Mols JB;Gutiérrez, HG;recby_problem
Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;PH;Mt. Concord.;11.695278;125.241389;Gutiérrez, HG;"Gutiérrez, HG; et al. PNH 117296 ";1;5;1969;;1994-05-01T00:00:00;<NA>;Botany;L.1753684;0;0;0;Guti;;0;1;5;1994;0;0;0;L1753684;117296;odorata;"Gutiérrez, HG; et al.";Kessler PJA;Gutiérrez, HG;recby_problem
Anaxagorea radiata C.B.Rob.;Anaxagorea;PH;Philippines, Lipuun Point, Quezon, Palawan;9.279882;117.9814;Gutiérrez, HG;"Gutiérrez, HG; Espiritu, RA PNH 80811 ";28;5;1963;;<NA>;<NA>;Botany;L.1744473;0;0;0;Guti;;0;;;;0;0;0;L1744473;80811;javanica;"Gutiérrez, HG; Espiritu RA";Benthem FDJ van;Gutiérrez, HG;recby_problem
Meiogyne cylindrocarpa (Burck) Heusden;Meiogyne;PH;Philippines, Palawan, Lipuun, Quezon;9.0;118.0;Gutiérrez, HG;"Gutiérrez, HG; Espiritu, RA PNH 80816 ";28;5;1963;;<NA>;<NA>;Botany;L  0187655;0;0;0;Guti;;0;;;;0;0;0;L0187655;80816;cylindrocarpa;"Gutiérrez, HG; Espiritu RA";Heusden ECH van;Gutiérrez, HG;recby_problem
Cyathocalyx crassipetalus R.J.Wang & R.M.K.Saunders;Drepananthus;PH;Mt. Concord.;11.695278;125.241389;Gutiérrez, HG;"Gutiérrez, HG; et al. PNH 117083 ";1;5;1969;;2004-03-01T00:00:00;<NA>;Botany;L  0181755;0;0;0;Guti;;0;1;3;2004;0;0;0;L0181755;117083;crassipetalus;"Gutiérrez, HG; et al.";Wang RJ;Gutiérrez, HG;recby_problem
Cyathocalyx crassipetalus R.J.Wang & R.M.K.Saunders;Drepananthus;PH;Mt. Concord.;11.695278;125.241389;Gutiérrez, HG;"Gutiérrez, HG; et al. PNH 117083 ";1;5;1969;;2004-03-01T00:00:00;<NA>;Botany;L  0181756;0;0;0;Guti;;0;1;3;2004;0;0;0;L0181756;117083;crassipetalus;"Gutiérrez, HG; et al.";Wang RJ;Gutiérrez, HG;recby_problem
