recorded_by;colnum_full;det_by;det_date;col_date;region;locality;barcode;country;genus;specific_epithet;scientific_name;specificEpithet;species_author;collector_id;prefix;sufix;col_day;col_month;col_year;det_day;det_month;det_year;country_id;continent;coordinate_id;ddlong;ddlat;institute;herbarium_code;huh_name;geo_col;wiki_url;colnum;orig_bc;orig_recby;orig_detby
Poilane;9906;Weerasooriya, AD;01/03/2001 - 31/03/2001;05/03/1924 - 05/03/1924;Ninh Thuận;Annam : Ka Rom pro: Phanrang. 500 m alt.;P00133889;Viet Nam;Mitrephora;tomentosa;0;0;0;0;;;5;3;1924;1;3;2001;0;0;0;109.083;11.783;0;0;0;0;0;9906;P00133889;Poilane;Weerasooriya, A.D.
Poilane;9906;Weerasooriya, AD;01/03/2001 - 31/03/2001;05/03/1924 - 05/03/1924;Ninh Thuận;Annam : Ka Rom. pro: Phanrang;P00133890;Viet Nam;Mitrephora;thorelii;0;0;0;0;;;5;3;1924;1;3;2001;0;0;0;109.083;11.783;0;0;0;0;0;9906;P00133890;Poilane;Weerasooriya, A.D.
Thorel;3233;Weerasooriya, AD;01/03/2001 - 31/03/2001;01/01/1866 - 31/12/1868;Sainyabuli;Xieng-Khan à Pak-lay, Laos. Expédition du Mé-Kong.;P00133891;Laos, République démocratique populaire;Mitrephora;tomentosa;0;0;0;0;;;1;1;1866;1;3;2001;0;0;0;101.422;18.015;0;0;0;0;0;3233;P00133891;Thorel;Weerasooriya, A.D.
Poilane;30479;nan;<NA>;23/09/1940 - 23/09/1940;Bình Thuận;Annam : Nord Ouest de la gare de Song mao pro: de Phanrang. 2 a 300 m alt;P00248147;Viet Nam;Uvaria;cordata;0;0;0;0;;;23;9;1940;;;;0;0;0;108.506;11.251;0;0;0;0;0;30479;P00248147;Poilane;<NA>
Thorel;897;nan;<NA>;01/01/1862 - 31/12/1866;Champasak;Laos, Bassac;P00248148;Laos, République démocratique populaire;Uvaria;cordata;0;0;0;0;;;1;1;1862;;;;0;0;0;105.8765804;14.8872885;0;0;0;0;0;897;P00248148;Thorel;<NA>
Thorel;897;nan;<NA>;01/01/1862 - 31/12/1866;Champasak;Laos, Bassac;P00248149;Laos, République démocratique populaire;Uvaria;cordata;0;0;0;0;;;1;1;1862;;;;0;0;0;105.8765804;14.8872885;0;0;0;0;0;897;P00248149;Thorel;<NA>
Thorel;897;nan;<NA>;01/01/1862 - 31/12/1866;Champasak;Laos, Bassac;P00248150;Laos, République démocratique populaire;Uvaria;cordata;0;0;0;0;;;1;1;1862;;;;0;0;0;105.8765804;14.8872885;0;0;0;0;0;897;P00248150;Thorel;<NA>
Thorel;1362;nan;<NA>;01/01/1862 - 31/12/1866;Bình Dương;Ti-Tinh. Cochinchine;P00248151;Viet Nam;Uvaria;cordata;0;0;0;0;;;1;1;1862;;;;0;0;0;106.483;11.3167;0;0;0;0;0;1362;P00248151;Thorel;<NA>
Thorel;1362;nan;<NA>;01/01/1862 - 31/12/1866;Bình Dương;Cochinchine. Ti-Tinh;P00248152;Viet Nam;Uvaria;cordata;0;0;0;0;;;1;1;1862;;;;0;0;0;106.483;11.3167;0;0;0;0;0;1362;P00248152;Thorel;<NA>
Bodinier, E;590;nan;<NA>;23/05/1894 - 23/05/1894;Hong Kong(香港);Hong-Kong. Dans l'île;P00248153;Chine;Uvaria;cordata;0;0;0;0;;;23;5;1894;;;;0;0;0;114.163;22.279;0;0;0;0;0;590;P00248153;Bodinier, E.;<NA>
Callery;74;nan;<NA>;01/01/1837 - 31/12/1837;Macau(澳門);Chine (Macao);P00248156;Chine;Uvaria;cordata;0;0;0;0;;;1;1;1837;;;;0;0;0;113.551;22.176;0;0;0;0;0;74;P00248156;Callery;<NA>
Ford, C;1006;nan;<NA>;09/08/1893 - 09/08/1893;Hong Kong(香港);China, Kwangtung Province. Hongkong.;P00248158;Chine;Uvaria;cordata;0;0;0;0;;;9;8;1893;;;;0;0;0;114.163;22.279;0;0;0;0;0;1006;P00248158;Ford, C.;<NA>
Ford;1006;nan;<NA>;09/08/1893 - 09/08/1893;Guangdong(广东);Kouang-toung, Chine;P00248159;Chine;Uvaria;cordata;0;0;0;0;;;9;8;1893;;;;0;0;0;;;0;0;0;0;0;1006;P00248159;Ford;<NA>
