scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;coll_surname;genus_old;specific_epithet_old
Maasia glauca (Hassk.) Mols, Kessler & Rogstad;Maasia;PH;North coast, Mindoro, Subaan River inland from San Teodoro.;13.433333;121.016667;Coode, MJE;Coode, MJE  5409 ;19;4;1986;nan;<NA>;<NA>;Botany;L.1761226;0;0;0;Coode;;0;;;;0;0;0;L1761226;5409;glauca;Coode MJE;<NA>;Coode;Maasia;glauca
Maasia glauca (Hassk.) Mols, Kessler & Rogstad;Maasia;PH;North coast, Mindoro, Subaan River inland from San Teodoro.;13.433333;121.016667;Coode, MJE;Coode, MJE  5409 ;19;4;1986;nan;<NA>;<NA>;Botany;L  0192775;0;0;0;Coode;;0;;;;0;0;0;L0192775;5409;glauca;Coode MJE;<NA>;Coode;Maasia;glauca
Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;PH;"Philippines, Mindoro, North Coast, Subaan River inland from San Teodoro, c. 13.26 N; 121.01 E.";13.433333;121.016667;Coode, MJE;Coode, MJE  5428 ;20;4;1986;Mols, JB;<NA>;<NA>;Botany;L.1758772;0;0;0;Coode;;0;;;;0;0;0;L1758772;5428;ophthalmicus;Coode MJE;Mols JB;Coode;Phaeanthus;ophthalmicus
Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;PH;"Philippines, Mindoro, North Coast, Subaan River inland from San Teodoro, c. 13.26 N; 121.01 E.";13.433333;121.016667;Coode, MJE;Coode, MJE  5428 ;20;4;1986;Mols, JB;<NA>;<NA>;Botany;L.1758774;0;0;0;Coode;;0;;;;0;0;0;L1758774;5428;ophthalmicus;Coode MJE;Mols JB;Coode;Phaeanthus;ophthalmicus
Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;PH;"Philippines, Mindoro, North Coast, Subaan River inland from San Teodoro, c. 13.26 N; 121.01 E.";13.433333;121.016667;Coode, MJE;Coode, MJE  5428 ;20;4;1986;Mols, JB;<NA>;<NA>;Botany;L.1758773;0;0;0;Coode;;0;;;;0;0;0;L1758773;5428;ophthalmicus;Coode MJE;Mols JB;Coode;Phaeanthus;ophthalmicus
Polyalthia Blume;Polyalthia;PH;North coast, Mindoro. Subaan River inland from San Teodoro.;13.433333;121.016667;Coode, MJE;Coode, MJE  5517 ;24;4;1986;nan;<NA>;<NA>;Botany;L.1759951;0;0;0;Coode;;0;;;;0;0;0;L1759951;5517;;Coode MJE;<NA>;Coode;Polyalthia;
Polyalthia Blume;Polyalthia;PH;North coast, Mindoro. Subaan River inland from San Teodoro.;13.433333;121.016667;Coode, MJE;Coode, MJE  5517 ;24;4;1986;nan;<NA>;<NA>;Botany;L.1759952;0;0;0;Coode;;0;;;;0;0;0;L1759952;5517;;Coode MJE;<NA>;Coode;Polyalthia;
Goniothalamus (Blume) Hook.f. & Thomson;Goniothalamus;PH;North coast, Mindoro. Subaan River headwaters, inland from San Teodoro.;13.433333;121.016667;Coode, MJE;Coode, MJE  5680 ;2;5;1986;nan;<NA>;<NA>;Botany;L.2067211;0;0;0;Coode;;0;;;;0;0;0;L2067211;5680;;Coode MJE;<NA>;Coode;Goniothalamus;
Goniothalamus (Blume) Hook.f. & Thomson;Goniothalamus;PH;North coast, Mindoro. Subaan River headwaters, inland from San Teodoro.;13.433333;121.016667;Coode, MJE;Coode, MJE  5680 ;2;5;1986;nan;<NA>;<NA>;Botany;L  0771292;0;0;0;Coode;;0;;;;0;0;0;L0771292;5680;;Coode MJE;<NA>;Coode;Goniothalamus;
Uvaria rufa (Dunal) Blume;Uvaria;PH;Philippines, Dumaguete (Cuernos Mts.), Province of Negros Oriental, Island of Negros.;9.3;123.3;Elmer, ADE;Elmer, ADE  10313 ;1;6;1908;nan;2002-05-22T00:00:00;<NA>;Botany;L.1768772;0;0;0;Elmer;;0;22;5;2002;0;0;0;L1768772;10313;rufa;Elmer ADE;<NA>;Elmer;Uvaria;rufa
