scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;orig_recby;orig_detby;to_check;to_check_det;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet
Friesodielsia obtusifolia (Elmer) Steenis;Friesodielsia;ID;Central Halmahera. Weda Bay. Doromesmesan.;0.498139;127.905222;Gushilman, I;"Iska Gushilman;Martin W. Callmander;Peter B. Phillipson;Idris Haris;Samsul Lasut";"I Rachman (BO) 2013; D.M.  Johnson (OWU)";detby_problem;" (BO) 2013; D.M.  Johnson (OWU)";Gushilman 342;24;1;2013;Rachman, IA, Johnson, DM;2014-01-01T00:00:00;MO;MO;100567517;0;0;0;Gushilman;;0;1;1;2014;0;0;0;MO100567517;342;obtusifolia
Mezzettia parviflora Becc.;Mezzettia;ID;Central Halmahera. Weda Bay. Ake Sake, Lajino.;0.488639;127.982;Gushilman, I;"Iska Gushilman;Idris Haris;Darius Loha";"I Rachman (BO) 2013; D.M.  Johnson (OWU)";detby_problem;" (BO) 2013; D.M.  Johnson (OWU)";Gushilman 78;18;10;2012;Rachman, IA, Johnson, DM;2014-01-01T00:00:00;MO;MO;100534457;0;0;0;Gushilman;;0;1;1;2014;0;0;0;MO100534457;78;parviflora
Cyathocalyx Champ. ex Hook.f. & Thomson;Cyathocalyx;ID;Central Halmahera. Weda Bay. Tjetju.;0.48075;127.961611;Gushilman, I;"Iska Gushilman;Samsul Lasut";Ismail Rachman (BO);detby_problem; (BO);Gushilman 786;17;10;2013;Rachman, IA;2014-01-01T00:00:00;MO;MO;100641145;0;0;0;Gushilman;;0;1;1;2014;0;0;0;MO100641145;786;
Friesodielsia obtusifolia (Elmer) Steenis;Friesodielsia;ID;Central Halmahera. Weda Bay. Doromesmesan.;0.498139;127.905222;Gushilman, I;"Gushilman I; Callmander MW; Phillipson PB; Haris I; Lasut SA";"Johnson DM; Rachman IA";detby_problem;"Johnson DM; Rachman IA";"Gushilman, I; Callmander, MW; Phillipson, PB; Haris, I; Lasut, SA  342 ";24;1;2013;Johnson DM, Rachman IA;<NA>;<NA>;Botany;L.3968416;0;0;0;Gushilman;;0;;;;0;0;0;L3968416;342;obtusifolia
Mezzettia parviflora Becc.;Mezzettia;ID;Central Halmahera. Weda Bay. Ake Sake, Lajino.;0.488639;127.982;Gushilman, I;"Gushilman I; Haris I; Loha D";"Johnson DM; Rachman IA";detby_problem;"Johnson DM; Rachman IA";"Gushilman, I; Haris, I; Loha, D  78 ";18;10;2012;Johnson DM, Rachman IA;<NA>;<NA>;Botany;L.4308199;0;0;0;Gushilman;;0;;;;0;0;0;L4308199;78;parviflora
Popowia pisocarpa (Blume) Endl.;Popowia;ID;Central Halmahera, Weda Bay, Bukit Limber.;0.540722;127.975611;Gushilman, I;"Iska Gushilman;Roji Mahroji;Idris Haris;Samsul Lasut;Bahar Fabanyo";P. Kessler (L);detby_problem; (L);Gushilman 609;13;5;2013;Kessler, PJA;2014-01-01T00:00:00;MO;MO;100596994;0;0;0;Gushilman;;0;1;1;2014;0;0;0;MO100596994;609;pisocarpa
Popowia pisocarpa (Blume) Endl.;Popowia;ID;Central Halmahera, Weda Bay, Bukit Limber.;0.547889;127.978028;Gushilman, I;"Iska Gushilman;Idris Haris;Roji Mahroji;Samsul Lasut";P. Kessler (L);detby_problem; (L);Gushilman 579;8;5;2013;Kessler, PJA;2014-01-01T00:00:00;MO;MO;100593084;0;0;0;Gushilman;;0;1;1;2014;0;0;0;MO100593084;579;pisocarpa
Polyalthia Blume;Polyalthia;ID;Central Halmahera. Weda Bay. Nuspera.;0.478361;127.93625;Gushilman, I;"Iska Gushilman;Ismail A. Rachman;Idris Haris";P. Kessler (L);detby_problem; (L);Gushilman 68;15;10;2012;Kessler, PJA;2014-01-01T00:00:00;MO;MO;100532666;0;0;0;Gushilman;;0;1;1;2014;0;0;0;MO100532666;68;
Annonaceae;<NA>;ID;Central Halmahera. Weda Bay. Doromesmesan.;0.498139;127.905222;Gushilman, I;"Iska Gushilman;Martin W. Callmander;Peter B. Phillipson;Idris Haris;Samsul Lasut";phillipson;detby_problem;phillipson;Gushilman 341;24;1;2013;Phillipson;<NA>;MO;MO;100567516;0;0;0;Gushilman;;0;;;;0;0;0;MO100567516;341;
Mitrella kentii (Blume) Miq.;Mitrella;ID;Archipel. Ind. Java bij Buitenzorg. Tjapoes.;-6.5897;106.7913;Hallier, JG;Hallier JG;Beumée, JGB;detby_problem;Beumée, JGB;Hallier, JG  s.n. ;22;4;1896;Beumée, JGB;<NA>;<NA>;Botany;L.1761788;0;0;0;Hallier;;0;;;;0;0;0;L1761788;nan;kentii
Artabotrys suaveolens var. parviflorus (Miq.) Miq.;Artabotrys;ID;Archipel. Ind. Borneo, Sungai Sambas;1.383333;109.25;Hallier, JG;Hallier JG;Beumée, JGB;detby_problem;Beumée, JGB;Hallier, JG  1080 ;1;1;1893;Beumée, JGB;<NA>;<NA>;Botany;L.1760086;0;0;0;Hallier;;0;;;;0;0;0;L1760086;1080;suaveolens
Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;ID;Archipel. Ind. Borneo. Soengai Sambas.;1.383333;109.25;Hallier, JG;Hallier JG;Beumée, JGB;detby_problem;Beumée, JGB;Hallier, JG  1030 ;1;1;1893;Beumée, JGB;<NA>;<NA>;Botany;L.1753716;0;0;0;Hallier;;0;;;;0;0;0;L1753716;1030;odorata
Xylopia sumatrana (Miq.) D.M.Johnson & N.A.Murray;Unona;ID;Borneo, Sanggouw;1.133333;109.6;Hallier, JG;Hallier JG;Johnson, DM, Murray, NA;detby_problem;Johnson, DM, Murray, NA;Hallier, JG  881 ;1;1;1893;Johnson, DM, Murray, NA;<NA>;<NA>;Botany;L.4370519;0;0;0;Hallier;;0;;;;0;0;0;L4370519;881;sumatrana
Xylopia L.;Xylopia;ID;East Halmahera. Weda Bay. Kao Rahai. Camp 5.;0.677361;128.010694;Haris, I;"Haris I; Mahroji R; Loha D; Yani A";Arias Guerrero S;detby_problem; S;"Haris, I; Mahroji, R; Loha, D; Yani, A  109 ";7;1;2014;Guerrero, SA;<NA>;<NA>;Botany;L.3967676;0;0;0;Haris;;0;;;;0;0;0;L3967676;109;
Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;ID;Central Halmahera. Weda Bay. Gwomdi.;0.483583;127.971528;Haris, I;"Idris Haris;Roji Mahroji;Bahar Fabanyo;Samsul Lasut";"D.M.  Johnson (OWU); P. Kessler (L)";detby_problem;" (OWU); P. Kessler (L)";Haris 46;7;1;2013;Johnson DM,Kessler PJA;2014-01-01T00:00:00;MO;MO;100563782;0;0;0;Haris;;0;1;1;2014;0;0;0;MO100563782;46;ophthalmicus
Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;ID;Central Halmahera. Weda Bay. Gwomdi.;0.483583;127.971528;Haris, I;"Haris I; Mahroji R; Fabanyo B; Lasut SA";"Johnson DM; Kessler PJA";detby_problem;"Johnson DM; Kessler PJA";"Haris, I; Mahroji, R; Fabanyo, B; Lasut, SA  46 ";7;1;2013;Johnson DM,Kessler PJA;<NA>;<NA>;Botany;L.3967684;0;0;0;Haris;;0;;;;0;0;0;L3967684;46;ophthalmicus
Xylopia L.;Xylopia;ID;East Halmahera. Weda Bay. Kao Rahai. Camp 5.;0.677361;128.010694;Haris, I;"Idris Haris;Roji Mahroji;Darius Loha;Ahmad Yani";S. Arias (L);detby_problem; (L);Haris 109;7;1;2014;Guerrero, SA;2015-01-01T00:00:00;MO;MO;100676637;0;0;0;Haris;;0;1;1;2015;0;0;0;MO100676637;109;
Stelechocarpus burahol (Blume) Hook.f. & Thomson;Stelechocarpus;ID;Tjampea heuvel bij Buitenzorg;-6.552831;106.684499;Harreveld, T van;Harreveld Th van;<NA>; van;recby_problem;Harreveld, Th van  s.n. ;28;6;1907;;<NA>;<NA>;Botany;L  0197509;0;0;0;Harreveld;;0;;;;0;0;0;L0197509;nan;burahol
Polyalthia micrantha (Miq.) Boerl.;Polyalthia;ID;Java, Baya;-6.924722;106.257222;Hasskarl, JC;Hasskarl JC;Brink, RCB van den Sr;detby_problem;Brink, RCB van den Sr;Hasskarl, JC  s.n. ;;;;Brink, RCB van den Sr;1954-11-01T00:00:00;<NA>;Botany;L.1767185;0;0;0;Hasskarl;;0;1;11;1954;0;0;0;L1767185;nan;pisocarpa
Phaeanthus Hook.f. & Thomson;Phaeanthus;ID;Central Halmahera. Weda Bay. Doromesmesan.;0.490556;127.908889;Hidayat, A;"Arief Hidayat;Ehoarn Bidault;Tariq Stévart;Tjut Bangun;Bahar Fabanyo;Roji Mahroji";I Rachman (BO);detby_problem; (BO);Hidayat 5042;22;4;2013;Rachman, IA;2013-01-01T00:00:00;MO;MO;100593177;0;0;0;Hidayat;;0;1;1;2013;0;0;0;MO100593177;5042;
Goniothalamus macrophyllus (Blume) Hook.f. & Thomson;Goniothalamus;ID;<NA>;-6.787778;106.981944;Houtsoorten van den Gedeh (Java);Houtsoorten van den Gedeh (Java);Saunders RMK;Houtsoorten van den Gedeh (Java);recby_problem;Houtsoorten van den Gedeh (Java)  202 ;;;;Saunders, RMK;2001-11-01T00:00:00;<NA>;Botany;L.3965461;0;0;0;Houtsoorten;;0;1;11;2001;0;0;0;L3965461;202;macrophyllus
Goniothalamus macrophyllus (Blume) Hook.f. & Thomson;Goniothalamus;ID;<NA>;-6.787778;106.981944;Houtsoorten van den Gedeh (Java);Houtsoorten van den Gedeh (Java);Saunders RMK;Houtsoorten van den Gedeh (Java);recby_problem;Houtsoorten van den Gedeh (Java)  202 ;;;;Saunders, RMK;2001-11-01T00:00:00;<NA>;Botany;L.3965443;0;0;0;Houtsoorten;;0;1;11;2001;0;0;0;L3965443;202;macrophyllus
Goniothalamus macrophyllus (Blume) Hook.f. & Thomson;Goniothalamus;ID;<NA>;-6.787778;106.981944;Houtsoorten van den Gedeh (Java);Houtsoorten van den Gedeh (Java);Saunders RMK;Houtsoorten van den Gedeh (Java);recby_problem;Houtsoorten van den Gedeh (Java)  202 ;;;;Saunders, RMK;2001-11-01T00:00:00;<NA>;Botany;L.3965444;0;0;0;Houtsoorten;;0;1;11;2001;0;0;0;L3965444;202;macrophyllus
Polyalthia subcordata (Blume) Blume;Polyalthia;ID;Gedeh (Java);-6.787778;106.981944;Houtsoorten van den Gedeh (Java);Houtsoorten van den Gedeh (Java);Diels FLE;Houtsoorten van den Gedeh (Java);recby_problem;Houtsoorten van den Gedeh (Java)  57 ;;;;Diels, FLE;<NA>;<NA>;Botany;L.1767722;0;0;0;Houtsoorten;;0;;;;0;0;0;L1767722;57;subcordata
Polyalthia subcordata (Blume) Blume;Polyalthia;ID;Gedeh (Java);-6.787778;106.981944;Houtsoorten van den Gedeh (Java);Houtsoorten van den Gedeh (Java);Diels FLE;Houtsoorten van den Gedeh (Java);recby_problem;Houtsoorten van den Gedeh (Java)  57 ;;;;Diels, FLE;<NA>;<NA>;Botany;L.1767720;0;0;0;Houtsoorten;;0;;;;0;0;0;L1767720;57;subcordata
Polyalthia subcordata (Blume) Blume;Polyalthia;ID;Gedeh (Java);-6.787778;106.981944;Houtsoorten van den Gedeh (Java);Houtsoorten van den Gedeh (Java);Diels FLE;Houtsoorten van den Gedeh (Java);recby_problem;Houtsoorten van den Gedeh (Java)  57 ;;;;Diels, FLE;<NA>;<NA>;Botany;L.1767718;0;0;0;Houtsoorten;;0;;;;0;0;0;L1767718;57;subcordata
Polyalthia subcordata (Blume) Blume;Polyalthia;ID;Gedeh (Java);-6.787778;106.981944;Houtsoorten van den Gedeh (Java);Houtsoorten van den Gedeh (Java);Diels FLE;Houtsoorten van den Gedeh (Java);recby_problem;Houtsoorten van den Gedeh (Java)  57 ;;;;Diels, FLE;<NA>;<NA>;Botany;L.1767721;0;0;0;Houtsoorten;;0;;;;0;0;0;L1767721;57;subcordata
Polyalthia subcordata (Blume) Blume;Polyalthia;ID;Gedeh (Java);-6.787778;106.981944;Houtsoorten van den Gedeh (Java);Houtsoorten van den Gedeh (Java);Diels FLE;Houtsoorten van den Gedeh (Java);recby_problem;Houtsoorten van den Gedeh (Java)  57 ;;;;Diels, FLE;<NA>;<NA>;Botany;L.1767719;0;0;0;Houtsoorten;;0;;;;0;0;0;L1767719;57;subcordata
