huh_name;scientific_name;genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;region;specificEpithet;orig_recby;orig_detby;geo_col;wiki_url
Blume, Carl(Karl) Ludwig von;0;Uvaria;hirsuta;0;0;Blume;;<NA>;nan;<NA>;01/01/1834 - 31/12/1834;1;1;1834;nan;<NA>;;;;0;Indonésie;0;Java;0;;;0;0;P00260034;P00260034;Blume;;0;Blume;<NA>;Indonesia;0
Blume, Carl(Karl) Ludwig von;0;Uvaria;rufa;0;0;Blume;;<NA>;nan;<NA>;01/01/1834 - 31/12/1834;1;1;1834;Blume;<NA>;;;;0;Indonésie;0;Java;0;;;0;0;P00248468;P00248468;Blume;;0;Blume;Blume;Indonesia;0
Blume, Carl(Karl) Ludwig von;0;Uvaria;zeylanica;0;0;Blume;;<NA>;nan;<NA>;01/01/1834 - 31/12/1834;1;1;1834;Blume;<NA>;;;;0;Sri Lanka;0;Ceylan;0;;;0;0;P00248427;P00248427;Blume;;0;Blume;Blume;Indonesia;0
Blume, Carl(Karl) Ludwig von;0;Anaxagorea;javanica;0;0;Blume;;<NA>;nan;<NA>;<NA>;;;;Blume;<NA>;;;;0;Indonésie;0;Java.;0;;;0;0;P00411140;P00411140;Blume;;0;Blume;Blume;Indonesia;0
Blume, Carl(Karl) Ludwig von;0;Anomianthus;dulcis;0;0;Blume;;<NA>;nan;<NA>;<NA>;;;;nan;<NA>;;;;0;Indonésie;0;Java;0;;;0;0;P00432319;P00432319;Blume;;0;Blume;<NA>;Indonesia;0
Blume, Carl(Karl) Ludwig von;0;Artabotrys;hamatus;0;0;Blume;;<NA>;nan;<NA>;<NA>;;;;Blume;<NA>;;;;0;Indonésie;0;Java;0;;;0;0;P02029213;P02029213;Blume;;0;Blume;Blume;Indonesia;0
Blume, Carl(Karl) Ludwig von;0;Artabotrys;hexapetalus;0;0;Blume;;<NA>;nan;<NA>;<NA>;;;;nan;<NA>;;;;0;Indonésie;0;Java;0;;;0;0;P02029211;P02029211;Blume;;0;Blume;<NA>;Indonesia;0
Blume, Carl(Karl) Ludwig von;0;Guatteria;pallida;0;0;Blume;;<NA>;nan;<NA>;<NA>;;;;Blume;<NA>;;;;0;Indonésie;0;Java;0;;;0;0;P00404557;P00404557;Blume;;0;Blume;Blume;Indonesia;0
Blume, Carl(Karl) Ludwig von;0;Mitrella;kentii;0;0;Blume;;<NA>;nan;<NA>;<NA>;;;;Kessler, P;06/09/1985 - 06/09/1985;6;9;1985;0;Indonésie;0;Java;0;;;0;0;P01984742;P01984742;Blume;;0;Blume;Kessler, P.;Indonesia;0
Blume, Carl(Karl) Ludwig von;0;Mitrephora;humilis;0;0;Blume;;<NA>;nan;<NA>;<NA>;;;;Kessler, P;06/02/1985 - 06/02/1985;6;2;1985;0;Indonésie;0;Java;0;;;0;0;P00732424;P00732424;Blume;;0;Blume;Kessler, P.;Indonesia;0
