specimen - institute;specimen - collection;specimen - code;specimen - family;specimen - genus;specimen - specific_epithet;unusable - cause;country - country;country - cultivated;country - guessed;country - not_sure;country - no_info;region1 - region;region1 - guessed;region1 - not_sure;region1 - no_info;collect_date - collect_date;collect_date - not_sure;collect_date - no_info;collector - collector;collector - other_collectors;collector - not_sure;collector - no_info;collect_number - number;collect_number - note_sure;collect_number - no_info;identifier - identifier;identifier - not_sure;identifier - no_info;locality - locality;locality - not_sure;locality - no_info;geo - position;geo - precision;geo - not_sure;geo - no_info;owner - owner;owner - no_info;owner - not_sure;flower - flower;flower - info_color;flower - color_flowers;flower - not_sure;fruit - fruit;fruit - info_color;fruit - color_fruits;fruit - not_sure;Date deter - collect_date;Date deter - pas d'information;altitude - altitude;altitude - not_sure;altitude - no_info
MNHN;P;P01988687;Annonaceae;Polyalthia;suberosa;;Inde;false;;;;;;;true;;;true;;;;true;;;true;;;true;Coromandel;;;;;;true;;;;"""Non""";;;;"""Oui""";"""Non""";;;;true;;;true
MNHN;P;P01988688;Annonaceae;Polyalthia;suberosa;;Inde;false;;;;Assam;;;;;;true;Jenkins;;;false;;;true;;;true;Assam.;;;26.41 , 93.25;;;;;;;"""Non""";;;;"""Oui""";"""Non""";;;;true;;;true
MNHN;P;P01988689;Annonaceae;Polyalthia;suberosa;;Inde;false;;;;Assam;;;;01/05/1902 - 31/05/1902;;false;Chatterjee, A.C.;;;false;;;true;;;true;Assam;;;26.4 , 93.3;;;;;;;"""Non""";;;;"""Oui""";"""Non""";;;;true;;;true
MNHN;P;P01988690;Annonaceae;Polyalthia;suberosa;;;false;;;true;;;;true;;;true;Wight;;;false;36;;false;;;true;Peninsula Ind. orientalis.;;;;;;true;;;;"""Oui""";"""Non""";;;"""Non""";;;;;true;;;true
MNHN;P;P01988691;Annonaceae;Polyalthia;suberosa;;Inde;true;;;;West Bengal;;;;;;true;Wallich;;;false;;;true;;;true;H.B.C.;;;22.55843718237271 , 88.28887939453126;;;;;;;"""Oui""";"""Non""";;;"""Non""";;;;;true;;;true
MNHN;P;P01988692;Annonaceae;Polyalthia;suberosa;;Inde;null;;;false;;;;true;;;true;;;;true;;;true;;;true;Coromandel;;false;;;;true;;;;"""Non""";;;;"""Oui""";"""Non""";;;;true;;;true
MNHN;P;P01988693;Annonaceae;Polyalthia;suberosa;;Inde;false;;;;;;;true;;;true;Wight;;;false;36;;false;;;true;Peninsula Ind. orientalis.;;;;;;true;;;;"""Non""";;;;"""Oui""";"""Non""";;;;true;;;true
MNHN;P;P01988694;Annonaceae;Polyalthia;suberosa;;Inde;null;;;false;Assam;;;false;;;true;Jenkins;;;null;;;true;;;true;Assam.;;false;26.41 , 93.25;;;false;;;;"""Non""";;;;"""Oui""";"""Non""";;;;true;;;true
MNHN;P;P01988695;Annonaceae;Polyalthia;suberosa;;;false;;;true;;;;true;;;true;Hooker, W.;;;false;;;true;;;true;Inde (Bengale);;;;;;true;;;;"""Oui""";"""Non""";;;"""Non""";;;;;true;;;true
MNHN;P;P01988696;Annonaceae;Polyalthia;suberosa;;;false;;;true;;;;true;;;true;Hooker, J.D.;Thomson, T.;;false;;;true;;;true;Ind. Or. Bengal. Regio tropica;;;;;;true;;;;"""Oui""";"""Non""";;;"""Non""";;;;;true;;;true
MNHN;P;P01988697;Annonaceae;Polyalthia;suberosa;;;false;;;true;;;;true;;;true;Griffith;;;false;;;true;;;true;Bengal;;;;;;true;;;;"""Non""";;;;"""Oui""";"""Non""";;;;true;;;true
