scientific_name;genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;specificEpithet;orig_recby;orig_detby;country_iso3;status;accepted_name;ipni_no;global_id;childData_id;accSpecies_id;colnum_fullprefix;region;to_check;to_check_det;.val;.equ;.zer;.cap;.cen;.con;.gbf;.inst;.summary
Polyalthia minutiflora Elmer;Polyalthia;obliqua;Hook.f. & Thomson;0;Elmer, ADE;Elmer, ADE  13055 , Elmer, ADE  13055 , 13055, 13055;Elmer;13055;nan;0;1;4;1911;Heusden, ECH van, Heusden, ECH van, Turner, IM, Elmer, ADE;nan;;;;PH;Philippines;0;Philippines, Puerto Princesa (Mt. Pulgar), Province of Palawan, Island of Palawan.;0;118.605667;9.798722;<NA>, <NA>, NHMUK, 0;Botany, Botany, BOT, 0;U0000369, L0189072, BM000754005, P00372692;U  0000369, L  0189072, BM000754005, P00372692;Elmer;;;;;;;;;;;;;;;;;;;;;;;
Orophea cumingiana S.Vidal;Orophea;cumingiana;S.Vidal;0;Elmer, ADE;Elmer, ADE  13099 , Elmer, ADE  13099 , 13099, 13099;Elmer;13099;nan;0;1;4;1911;Kessler, PJA, Kessler, PJA, Kessler, PJA , Kessler, P;1984-03-01T00:00:00;1;3;1984;PH;Philippines;0;Philippines, Puerto Princesa (Mt. Pulgar), Province of Palawan, Island of Palawan.;0;118.605667;9.798722;<NA>, <NA>, NHMUK, 0;Botany, Botany, BOT, 0;U0000351, L0038065, BM000553885, P00432326;U  0000351, L  0038065, BM000553885, P00432326;Elmer;;;;;;;;;;;;;;;;;;;;;;;
Polyalthia pulgarense Elmer;Polyalthia;obliqua;Hook.f. & Thomson;0;Elmer, ADE;Elmer, ADE  13100 , Elmer, ADE  13100 , 13100;Elmer;13100;nan;0;1;4;1911;Heusden, ECH van, Heusden, ECH van, Turner, IM;nan;;;;PH;Philippines;0;Philippines, Puerto Princesa (Mt. Pulgar), Province of Palawan, Island of Palawan.;0;118.605667;9.798722;<NA>, <NA>, NHMUK;Botany, Botany, BOT;U0045614, L0038129, BM000754032;U  0045614, L  0038129, BM000754032;Elmer;;nan;;PHL;ACCEPTED;Polyalthia obliqua;https://ipni.org/n/74673-1;0;0;0;0;;;;;;;;;;;;
0;Meiogyne;mindorensis;(Merr.) Heusden;0;Elmer, ADE;13125, Elmer, ADE  13125 , 13125;nan;13125;nan;01/04/1911 - 30/04/1911;1;4;1911;Kessler, P, Heusden, ECH van, Turner, IM;01/11/2003 - 30/11/2003;1;11;2003;PH;Philippines;0;Philippine Islands. Puerto Princesa (Mt. Pulgar), Province of Palawan, Island of Palawan.;0;118.604;9.792;0, <NA>, NHMUK;0, Botany, BOT;P00390637, U0045426, BM000632897;P00390637, U  0045426, BM000632897;Elmer;;;;;;;;;;;;;;;;;;;;;;;
0;Uvaria;scandens;Miq.;0;Elmer, ADE;13273;nan;13273;nan;01/07/1912 - 31/07/1912;1;7;1912;nan;nan;;;;PH;Philippines;0;Philippine Islands. Cabadbaran (Mt. Urdaneta), Province of Agusan. Island of Mindanao.;0;125.5322203;9.1232986;0;0;P00248456;P00248456;Elmer;;;;;;;;;;;;;;;;;;;;;;;
Uvaria zschokkei Elmer;Uvaria;zschokkei;Elmer;0;Elmer, ADE;Elmer, ADE  13274 , 13274;Elmer;13274;nan;0;1;7;1912;Kessler, PJA, Turner, IM;2000-09-01T00:00:00;1;9;2000;PH;Philippines;0;Philippines, Cabadbaran (Mt. Urdaneta), Province of Agusan, Island of Mindanao.;0;125.534444;9.123611;<NA>, NHMUK;Botany, BOT;L0195692, BM001121311;L  0195692, BM001121311;Elmer;;nan;;PHL;ACCEPTED;Uvaria zschokkei;https://ipni.org/n/76003-1;0;0;0;0;;;;;;;;;;;;
Pseuduvaria unguiculata (Elmer) Y.C.F.Su & R.M.K.Saunders;Pseuduvaria;unguiculata;(Elmer) Y.C.F.Su & R.M.K.Saunders;0;Elmer, ADE;Elmer, ADE  13286 , Elmer, ADE  13286 , 13286, 13286;Elmer;13286;nan;0;1;7;1912;Su, YCF, Su, YCF, nan, Elmer, ADE;2001-09-01T00:00:00;1;9;2001;PH;Philippines;0;Philippines, Cabadbaran (Mt. Urdaneta), Province of Agusan, Island of Mindanao.;0;125.534444;9.123611;<NA>, <NA>, NHMUK, 0;Botany, Botany, BOT, 0;U0000383, L0038171, BM000553998, P00268546;U  0000383, L  0038171, BM000553998, P00268546;Elmer;;;;;;;;;;;;;;;;;;;;;;;
Friesodielsia obtusifolia (Elmer) Steenis;Friesodielsia;obtusifolia;(Elmer) Steenis;0;Elmer, ADE;Elmer, ADE  13412 ;Elmer;13412;nan;0;1;8;1912;nan;nan;;;;PH;Philippines;0;Philippines, Cabadbaran (Mt. Urdaneta), Province of Agusan, Island of Mindanao.;0;125.534444;9.123611;nan;Botany;L4345947;L.4345947;Elmer;0.0;Elmer ADE;;PHL;ACCEPTED;Friesodielsia obtusifolia;https://ipni.org/n/73131-1;0;0;0;0;;;;;;;;;;;;
Goniothalamus epiphyticus Elmer;Goniothalamus;epiphyticus;Elmer;0;Elmer, ADE;Elmer, ADE  13535 , Elmer, ADE  13535 , 13535;Elmer;13535;nan;0;1;8;1912;nan, nan, Elmer, ADE;nan;;;;PH;Philippines;0;Philippines, Cabadbaran (Mt. Urdaneta), Province of Agusan, Island of Mindanao.;0;125.534444;9.123611;<NA>, <NA>, 0;Botany, Botany, 0;U1073513, L2067137, P00732402;U.1073513, L.2067137, P00732402;Elmer;;;;;;;;;;;;;;;;;;;;;;;
Popowia pisocarpa (Blume) Endl.;Popowia;pisocarpa;(Blume) Endl. ex Walp.;0;Elmer, ADE;Elmer, ADE  13544 , Elmer, ADE  13544 , 13544;Elmer;13544;nan;0;1;10;1912;nan, nan, nan;nan;;;;PH;Philippines;0;Philippines, Cabadbaran (Mt. Urdaneta), Province of Agusan, Island of Mindanao.;0;125.534444;9.123611;<NA>, <NA>, 0;Botany, Botany, 0;U1080074, L1759058, P01983245;U.1080074, L.1759058, P01983245;Elmer;;;;;;;;;;;;;;;;;;;;;;;
Friesodielsia auriculata (Elmer) Steenis;Friesodielsia;auriculata;(Elmer) Steenis;0;Elmer, ADE;Elmer, ADE  13586 ;Elmer;13586;nan;0;1;8;1912;nan;nan;;;;PH;Philippines;0;Philippines, Cabadbaran (Mt. Urdaneta), Province of Agusan, Island of Mindanao.;0;125.534444;9.123611;nan;Botany;L0037934;L  0037934;Elmer;0.0;Elmer ADE;;PHL;ACCEPTED;Friesodielsia auriculata;https://ipni.org/n/73092-1;0;0;0;0;;;;;;;;;;;;
Enicosanthum grandifolium (Elmer) Airy Shaw;Enicosanthum;grandifolium;(Elmer) B.Xue & R.M.K.Saunders;0;Elmer, ADE;Elmer, ADE  13611 , Elmer, ADE  13611 , 13611, 13611;Elmer;13611;nan;0;1;8;1912;nan, nan, nan, Elmer, ADE;nan;;;;PH;Philippines;0;Philippines, Cabadbaran (Mt. Urdaneta), Province of Agusan, Island of Mindanao.;0;125.534444;9.123611;<NA>, <NA>, NHMUK, 0;Botany, Botany, BOT, 0;U0045631, L0484298, BM000754030, P00732347;U  0045631, L  0484298, BM000754030, P00732347;Elmer;;;;;;;;;;;;;;;;;;;;;;;
0;Polyalthia;obliqua;Hook.f. & Thomson;0;Elmer, ADE;13621, Elmer, ADE  13621 , Elmer, ADE  13621 ;nan;13621;nan;01/08/1912 - 31/08/1912;1;8;1912;Kessler, P, Heusden, ECH van, Heusden, ECH van;01/11/2003 - 30/11/2003;1;11;2003;PH;Philippines;0;Philippine Islands. Cabadbaran (Mt. Urdaneta), Province of Agusan. Island of Mindanao;0;125.5322203;9.1232986;0, <NA>, <NA>;0, Botany, Botany;P01983765, U1090786, L1767282;P01983765, U.1090786, L.1767282;Elmer;;;;;;;;;;;;;;;;;;;;;;;
0;Cyathocalyx;apoensis;Elmer;0;Elmer, ADE;13625, Elmer, ADE  13625 , Elmer, ADE  13625 ;nan;13625;nan;01/08/1912 - 31/08/1912;1;8;1912;Kessler, P, Wang, R, Wang, R;01/11/2003 - 30/11/2003;1;11;2003;PH;Philippines;0;Philippine Islands. Cabadbaran (Mt. Urdaneta). Province of Agusan. Island of Mindanao.;0;125.532318;9.1231657;0, <NA>, <NA>;0, Botany, Botany;P01981682, U1067861, L1753748;P01981682, U.1067861, L.1753748;Elmer;;;;;;;;;;;;;;;;;;;;;;;
Polyalthia agusanensis (Elmer) Merr.;Hubera;jenkinsii;(Hook.f. & Thomson) Chaowasku;0;Elmer, ADE;Elmer, ADE  13654 , Elmer, ADE  13654 , 13654;Elmer;13654;nan;0;1;9;1912;nan, nan, nan;nan;;;;PH;Philippines;0;Philippines, Cabadbaran (Mt. Urdaneta), Province of Agusan, Island of Mindanao.;0;125.534444;9.123611;<NA>, <NA>, 0;Botany, Botany, 0;U0147304, L0038106, P01983840;U  0147304, L  0038106, P01983840;Elmer;;;;;;;;;;;;;;;;;;;;;;;
0;Phaeanthus;ebracteolatus;(Roxb. ex G.Don) J.Sinclair;0;Elmer, ADE;13727, Elmer, ADE  13727 , Elmer, ADE  13727 , 13727;nan;13727;nan;01/09/1912 - 30/09/1912;1;9;1912;Kessler, Mols, JB, Mols, JB, nan;01/05/2004 - 31/05/2004;1;5;2004;PH;Philippines;0;Philippine Islands. Cabadbaran (Mt. Urdaneta). Province of Agusan. Island of Mandanao.;0;125.5322203;9.1232986;0, <NA>, <NA>, NHMUK;0, Botany, Botany, BOT;P00411106, U0008086, L0046153, BM000099285;P00411106, U  0008086, L  0046153, BM000099285;Elmer;;;;;;;;;;;;;;;;;;;;;;;
Mitrephora pictiflora Elmer;Mitrephora;pictiflora;Elmer;0;Elmer, ADE;Elmer, ADE  13731 , Elmer, ADE  13731 , 13731, 13731;Elmer;13731;nan;0;1;9;1912;Weerasooriya, AD, Weerasooriya, AD, Weerasooriya, A, Elmer, ADE;2001-03-01T00:00:00;1;3;2001;PH;Philippines;0;Philippines, Cabadbaran (Mt. Urdaneta), Province of Agusan, Island of Mindanao.;0;125.534444;9.123611;<NA>, <NA>, NHMUK, 0;Botany, Botany, BOT, 0;U0017046, L0064604, BM000560258, P00379282;U  0017046, L  0064604, BM000560258, P00379282;Elmer;;;;;;;;;;;;;;;;;;;;;;;
